,mean,Standard deviation
"('q_value_sampling', 'moment_updating', 1, 2, 0.01, 1)",149.8,37.11226212453237
"('q_value_sampling', 'moment_updating', 1, 2, 0.05, 1)",154.6,36.71348526086838
"('q_value_sampling', 'moment_updating', 1, 2, 0.1, 1)",154.56,36.26577449883016
"('q_value_sampling', 'moment_updating', 1, 2, 0.25, 1)",163.6,32.34563339927045
"('q_value_sampling', 'moment_updating', 1, 2, 0.5, 1)",164.44,27.62401853460137
"('q_value_sampling', 'moment_updating', 1, 2, 0.75, 1)",162.04,22.344538482591222
"('q_value_sampling', 'moment_updating', 1, 2, 1, 1)",162.72,19.459743060996466
"('q_value_sampling', 'moment_updating', 1, 2, 1.5, 1)",160.72,40.1093704762366
"('q_value_sampling', 'moment_updating', 1, 2, 2, 1)",162.36,34.34807709319402
"('q_value_sampling', 'moment_updating', 1, 2, 3, 1)",160.48,31.003380460846525
"('q_value_sampling', 'moment_updating', 1, 1.1, 0.01, 1)",153.6,29.724064325054876
"('q_value_sampling', 'moment_updating', 1, 1.1, 0.05, 1)",159.56,33.46709428677668
"('q_value_sampling', 'moment_updating', 1, 1.1, 0.1, 1)",164.24,46.02719196301247
"('q_value_sampling', 'moment_updating', 1, 1.1, 0.25, 1)",162.68,44.995306421892494
"('q_value_sampling', 'moment_updating', 1, 1.1, 0.5, 1)",175.28,50.14979162469172
"('q_value_sampling', 'moment_updating', 1, 1.1, 0.75, 1)",181.84,63.807009019385944
"('q_value_sampling', 'moment_updating', 1, 1.1, 1, 1)",179.44,42.235605832046495
"('q_value_sampling', 'moment_updating', 1, 1.1, 1.5, 1)",176.2,36.6
"('q_value_sampling', 'moment_updating', 1, 1.1, 2, 1)",198.0,67.01999701581612
"('q_value_sampling', 'moment_updating', 1, 1.1, 3, 1)",190.72,46.73801022722298
"('q_value_sampling', 'moment_updating', 1, 1.01, 0.01, 1)",166.8,48.881898490136415
"('q_value_sampling', 'moment_updating', 1, 1.01, 0.05, 1)",170.48,53.831678405934916
"('q_value_sampling', 'moment_updating', 1, 1.01, 0.1, 1)",184.76,48.470840718931214
"('q_value_sampling', 'moment_updating', 1, 1.01, 0.25, 1)",184.68,47.80394962761968
"('q_value_sampling', 'moment_updating', 1, 1.01, 0.5, 1)",186.52,40.56759297764658
"('q_value_sampling', 'moment_updating', 1, 1.01, 0.75, 1)",191.92,39.7410820184856
"('q_value_sampling', 'moment_updating', 1, 1.01, 1, 1)",194.72,37.84761022838826
"('q_value_sampling', 'moment_updating', 1, 1.01, 1.5, 1)",202.76,42.12151944077991
"('q_value_sampling', 'moment_updating', 1, 1.01, 2, 1)",199.64,42.299295502407595
"('q_value_sampling', 'moment_updating', 1, 1.01, 3, 1)",199.52,49.75067436728873
"('q_value_sampling', 'moment_updating', 1, 1.001, 0.01, 1)",165.72,43.50082298072072
"('q_value_sampling', 'moment_updating', 1, 1.001, 0.05, 1)",184.72,42.45422947127883
"('q_value_sampling', 'moment_updating', 1, 1.001, 0.1, 1)",192.12,43.46844372645517
"('q_value_sampling', 'moment_updating', 1, 1.001, 0.25, 1)",199.64,41.584016160058425
"('q_value_sampling', 'moment_updating', 1, 1.001, 0.5, 1)",223.64,72.69959009513053
"('q_value_sampling', 'moment_updating', 1, 1.001, 0.75, 1)",222.28,55.939982123701114
"('q_value_sampling', 'moment_updating', 1, 1.001, 1, 1)",219.76,51.327403986564526
"('q_value_sampling', 'moment_updating', 1, 1.001, 1.5, 1)",234.04,68.11812093708986
"('q_value_sampling', 'moment_updating', 1, 1.001, 2, 1)",240.84,71.32358936565097
"('q_value_sampling', 'moment_updating', 1, 1.001, 3, 1)",236.04,67.80264301633086
"('q_value_sampling', 'moment_updating', 1, 1.0001, 0.01, 1)",186.68,43.46329025741149
"('q_value_sampling', 'moment_updating', 1, 1.0001, 0.05, 1)",200.88,44.53342115759803
"('q_value_sampling', 'moment_updating', 1, 1.0001, 0.1, 1)",230.4,60.23952191045344
"('q_value_sampling', 'moment_updating', 1, 1.0001, 0.25, 1)",228.28,64.10867024045967
"('q_value_sampling', 'moment_updating', 1, 1.0001, 0.5, 1)",258.92,91.2913665140357
"('q_value_sampling', 'moment_updating', 1, 1.0001, 0.75, 1)",259.64,65.10752951848195
"('q_value_sampling', 'moment_updating', 1, 1.0001, 1, 1)",253.2,55.78960476647957
"('q_value_sampling', 'moment_updating', 1, 1.0001, 1.5, 1)",278.28,71.44901398899778
"('q_value_sampling', 'moment_updating', 1, 1.0001, 2, 1)",274.2,65.54174242419865
"('q_value_sampling', 'moment_updating', 1, 1.0001, 3, 1)",280.44,85.3831739864477
"('q_value_sampling', 'moment_updating', 1, 1.25, 0.01, 1)",162.88,42.285051732261124
"('q_value_sampling', 'moment_updating', 1, 1.25, 0.05, 1)",165.08,44.357114423731396
"('q_value_sampling', 'moment_updating', 1, 1.25, 0.1, 1)",168.56,44.665942282683346
"('q_value_sampling', 'moment_updating', 1, 1.25, 0.25, 1)",152.32,33.4863793205536
"('q_value_sampling', 'moment_updating', 1, 1.25, 0.5, 1)",160.08,31.924811667416304
"('q_value_sampling', 'moment_updating', 1, 1.25, 0.75, 1)",162.68,33.30251642143578
"('q_value_sampling', 'moment_updating', 1, 1.25, 1, 1)",165.8,43.022319788686424
"('q_value_sampling', 'moment_updating', 1, 1.25, 1.5, 1)",181.0,43.49206824238185
"('q_value_sampling', 'moment_updating', 1, 1.25, 2, 1)",177.48,43.480220790607774
"('q_value_sampling', 'moment_updating', 1, 1.25, 3, 1)",184.12,51.047287880944275
"('q_value_sampling', 'moment_updating', 1, 1.5, 0.01, 1)",159.12,31.26188733905872
"('q_value_sampling', 'moment_updating', 1, 1.5, 0.05, 1)",168.4,45.323724471848074
"('q_value_sampling', 'moment_updating', 1, 1.5, 0.1, 1)",169.88,43.2969467745706
"('q_value_sampling', 'moment_updating', 1, 1.5, 0.25, 1)",161.2,32.97999393571806
"('q_value_sampling', 'moment_updating', 1, 1.5, 0.5, 1)",162.64,31.552977672479663
"('q_value_sampling', 'moment_updating', 1, 1.5, 0.75, 1)",156.2,34.0476137196133
"('q_value_sampling', 'moment_updating', 1, 1.5, 1, 1)",158.28,32.412368009758254
"('q_value_sampling', 'moment_updating', 1, 1.5, 1.5, 1)",166.52,48.90285881213899
"('q_value_sampling', 'moment_updating', 1, 1.5, 2, 1)",180.48,49.039673734640616
"('q_value_sampling', 'moment_updating', 1, 1.5, 3, 1)",177.6,50.47296305944401
"('q_value_sampling', 'moment_updating', 1, 1.75, 0.01, 1)",145.36,31.540298032834123
"('q_value_sampling', 'moment_updating', 1, 1.75, 0.05, 1)",148.92,30.963746543336775
"('q_value_sampling', 'moment_updating', 1, 1.75, 0.1, 1)",156.88,30.6676637519065
"('q_value_sampling', 'moment_updating', 1, 1.75, 0.25, 1)",161.08,27.141731705991052
"('q_value_sampling', 'moment_updating', 1, 1.75, 0.5, 1)",159.68,29.272130089899505
"('q_value_sampling', 'moment_updating', 1, 1.75, 0.75, 1)",162.2,37.53238601528019
"('q_value_sampling', 'moment_updating', 1, 1.75, 1, 1)",158.8,32.75851034464174
"('q_value_sampling', 'moment_updating', 1, 1.75, 1.5, 1)",163.72,44.61391711114369
"('q_value_sampling', 'moment_updating', 1, 1.75, 2, 1)",168.2,32.291794623402396
"('q_value_sampling', 'moment_updating', 1, 1.75, 3, 1)",170.16,31.140558761846258
"('q_value_sampling', 'moment_updating', 1, 2, 0.01, 1)",149.8,37.11226212453237
"('q_value_sampling', 'moment_updating', 1, 2, 0.05, 1)",154.6,36.71348526086838
"('q_value_sampling', 'moment_updating', 1, 2, 0.1, 1)",154.56,36.26577449883016
"('q_value_sampling', 'moment_updating', 1, 2, 0.25, 1)",163.6,32.34563339927045
"('q_value_sampling', 'moment_updating', 1, 2, 0.5, 1)",164.44,27.62401853460137
"('q_value_sampling', 'moment_updating', 1, 2, 0.75, 1)",162.04,22.344538482591222
"('q_value_sampling', 'moment_updating', 1, 2, 1, 1)",162.72,19.459743060996466
"('q_value_sampling', 'moment_updating', 1, 2, 1.5, 1)",160.72,40.1093704762366
"('q_value_sampling', 'moment_updating', 1, 2, 2, 1)",162.36,34.34807709319402
"('q_value_sampling', 'moment_updating', 1, 2, 3, 1)",160.48,31.003380460846525
"('q_value_sampling', 'moment_updating', 1, 5, 0.01, 1)",156.2,50.42261397428737
"('q_value_sampling', 'moment_updating', 1, 5, 0.05, 1)",153.72,43.371898736393824
"('q_value_sampling', 'moment_updating', 1, 5, 0.1, 1)",153.6,43.28694953447286
"('q_value_sampling', 'moment_updating', 1, 5, 0.25, 1)",151.48,38.18022524815693
"('q_value_sampling', 'moment_updating', 1, 5, 0.5, 1)",148.2,29.746260269149804
"('q_value_sampling', 'moment_updating', 1, 5, 0.75, 1)",148.84,29.73237965585668
"('q_value_sampling', 'moment_updating', 1, 5, 1, 1)",151.36,27.926875944151003
"('q_value_sampling', 'moment_updating', 1, 5, 1.5, 1)",156.96,26.809669897259084
"('q_value_sampling', 'moment_updating', 1, 5, 2, 1)",167.4,34.07110212482126
