"(0, 1000, 'greedy', 0, 1)","(0, 1000, 'greedy', 0, 5)","(0, 1000, 'greedy', 0, 10)","(0, 1000, 'greedy', 0, 20)","(0, 1000, 'constant-epsilon', 0.1, 1)","(0, 1000, 'constant-epsilon', 0.1, 5)","(0, 1000, 'constant-epsilon', 0.1, 10)","(0, 1000, 'constant-epsilon', 0.1, 20)","(0, 1000, 'epsilon_greedy', 0.1, 1)","(0, 1000, 'epsilon_greedy', 0.1, 5)","(0, 1000, 'epsilon_greedy', 0.1, 10)","(0, 1000, 'epsilon_greedy', 0.1, 20)","(0, 1000, 'boltzmann_exploration', 1.5, 1)","(0, 1000, 'boltzmann_exploration', 1.5, 5)","(0, 1000, 'boltzmann_exploration', 1.5, 10)","(0, 1000, 'boltzmann_exploration', 1.5, 20)","(0.25, 1000, 'greedy', 0, 1)","(0.25, 1000, 'greedy', 0, 5)","(0.25, 1000, 'greedy', 0, 10)","(0.25, 1000, 'greedy', 0, 20)","(0.25, 1000, 'constant-epsilon', 0.1, 1)","(0.25, 1000, 'constant-epsilon', 0.1, 5)","(0.25, 1000, 'constant-epsilon', 0.1, 10)","(0.25, 1000, 'constant-epsilon', 0.1, 20)","(0.25, 1000, 'epsilon_greedy', 0.1, 1)","(0.25, 1000, 'epsilon_greedy', 0.1, 5)","(0.25, 1000, 'epsilon_greedy', 0.1, 10)","(0.25, 1000, 'epsilon_greedy', 0.1, 20)","(0.25, 1000, 'boltzmann_exploration', 1.5, 1)","(0.25, 1000, 'boltzmann_exploration', 1.5, 5)","(0.25, 1000, 'boltzmann_exploration', 1.5, 10)","(0.25, 1000, 'boltzmann_exploration', 1.5, 20)","(0.5, 1000, 'greedy', 0, 1)","(0.5, 1000, 'greedy', 0, 5)","(0.5, 1000, 'greedy', 0, 10)","(0.5, 1000, 'greedy', 0, 20)","(0.5, 1000, 'constant-epsilon', 0.1, 1)","(0.5, 1000, 'constant-epsilon', 0.1, 5)","(0.5, 1000, 'constant-epsilon', 0.1, 10)","(0.5, 1000, 'constant-epsilon', 0.1, 20)","(0.5, 1000, 'epsilon_greedy', 0.1, 1)","(0.5, 1000, 'epsilon_greedy', 0.1, 5)","(0.5, 1000, 'epsilon_greedy', 0.1, 10)","(0.5, 1000, 'epsilon_greedy', 0.1, 20)","(0.5, 1000, 'boltzmann_exploration', 1.5, 1)","(0.5, 1000, 'boltzmann_exploration', 1.5, 5)","(0.5, 1000, 'boltzmann_exploration', 1.5, 10)","(0.5, 1000, 'boltzmann_exploration', 1.5, 20)","(0.75, 1000, 'greedy', 0, 1)","(0.75, 1000, 'greedy', 0, 5)","(0.75, 1000, 'greedy', 0, 10)","(0.75, 1000, 'greedy', 0, 20)","(0.75, 1000, 'constant-epsilon', 0.1, 1)","(0.75, 1000, 'constant-epsilon', 0.1, 5)","(0.75, 1000, 'constant-epsilon', 0.1, 10)","(0.75, 1000, 'constant-epsilon', 0.1, 20)","(0.75, 1000, 'epsilon_greedy', 0.1, 1)","(0.75, 1000, 'epsilon_greedy', 0.1, 5)","(0.75, 1000, 'epsilon_greedy', 0.1, 10)","(0.75, 1000, 'epsilon_greedy', 0.1, 20)","(0.75, 1000, 'boltzmann_exploration', 1.5, 1)","(0.75, 1000, 'boltzmann_exploration', 1.5, 5)","(0.75, 1000, 'boltzmann_exploration', 1.5, 10)","(0.75, 1000, 'boltzmann_exploration', 1.5, 20)","(1, 1000, 'greedy', 0, 1)","(1, 1000, 'greedy', 0, 5)","(1, 1000, 'greedy', 0, 10)","(1, 1000, 'greedy', 0, 20)","(1, 1000, 'constant-epsilon', 0.1, 1)","(1, 1000, 'constant-epsilon', 0.1, 5)","(1, 1000, 'constant-epsilon', 0.1, 10)","(1, 1000, 'constant-epsilon', 0.1, 20)","(1, 1000, 'epsilon_greedy', 0.1, 1)","(1, 1000, 'epsilon_greedy', 0.1, 5)","(1, 1000, 'epsilon_greedy', 0.1, 10)","(1, 1000, 'epsilon_greedy', 0.1, 20)","(1, 1000, 'boltzmann_exploration', 1.5, 1)","(1, 1000, 'boltzmann_exploration', 1.5, 5)","(1, 1000, 'boltzmann_exploration', 1.5, 10)","(1, 1000, 'boltzmann_exploration', 1.5, 20)"
47.44,60.6,62.0,61.92,40.76,50.48,51.72,53.56,40.76,50.48,51.72,53.56,26.16,25.28,25.12,24.32,47.44,60.56,60.8,61.92,40.76,50.48,52.04,53.56,40.76,50.48,52.04,53.56,26.04,25.04,24.76,24.32,47.44,60.32,60.12,61.92,40.76,50.56,51.56,53.56,40.76,50.56,51.56,53.56,26.24,25.24,24.4,24.32,47.44,60.08,60.36,61.92,40.76,50.6,51.72,53.56,40.76,50.6,51.72,53.56,26.24,24.96,24.08,24.32,47.44,60.48,60.44,61.92,40.52,50.44,51.84,53.56,40.52,50.44,51.84,53.56,26.24,24.84,24.08,24.32
30.48,62.36,65.8,66.16,36.68,49.76,52.32,52.04,36.68,49.72,52.32,52.0,30.32,28.64,29.36,31.68,30.48,62.4,65.76,65.64,36.6,49.76,50.92,52.16,36.6,49.72,50.88,52.12,30.2,27.84,30.24,31.52,30.48,62.2,65.48,65.64,36.64,49.6,50.92,52.16,36.64,49.56,50.88,52.12,30.2,27.96,30.04,30.96,30.48,62.2,63.6,65.64,36.64,50.24,49.56,52.0,36.64,50.2,49.52,51.96,30.2,28.24,29.92,30.96,30.48,64.56,65.32,65.92,34.44,49.36,50.04,49.6,34.44,49.32,49.96,49.56,30.24,28.96,29.96,30.68
31.04,58.44,62.2,63.88,31.76,52.04,53.72,57.76,32.36,52.16,53.84,58.04,32.08,29.52,30.0,32.84,31.04,60.28,62.32,61.76,31.76,52.04,54.24,56.84,32.36,52.16,54.36,57.12,32.04,28.72,30.4,32.8,31.04,60.88,62.32,61.76,31.76,52.08,51.76,56.28,32.36,52.2,51.88,56.56,32.08,27.8,30.44,31.88,31.04,60.88,61.52,61.76,31.76,51.56,51.56,54.96,32.36,51.68,51.68,55.24,32.08,28.72,28.2,30.68,31.04,61.88,61.8,62.24,31.52,52.24,50.96,53.12,32.08,52.36,51.0,53.4,32.32,28.72,28.04,30.68
33.92,64.24,69.52,70.4,33.2,55.68,55.96,58.84,33.32,54.16,56.36,59.24,30.8,29.64,29.84,32.04,33.92,65.84,68.92,70.4,33.2,55.68,61.08,59.24,33.32,54.16,59.72,57.88,30.72,30.48,30.04,31.44,33.92,66.84,67.64,70.4,33.2,57.96,57.48,59.44,33.32,56.44,56.12,58.08,30.8,30.72,28.64,30.8,33.92,66.84,66.92,70.4,33.2,57.48,57.88,60.04,33.32,55.96,56.52,58.68,30.8,30.48,28.52,28.76,33.92,66.84,67.56,70.0,32.32,58.72,56.44,56.68,32.44,57.36,55.0,55.36,31.12,30.0,29.0,28.16
29.92,63.64,62.64,64.0,30.48,52.4,49.64,51.92,30.56,53.32,50.56,51.88,32.16,28.56,30.4,32.52,29.92,62.16,63.0,64.0,30.36,52.4,50.8,51.48,30.44,53.32,51.72,51.44,32.16,28.56,30.28,31.76,29.92,62.92,62.8,64.0,30.48,51.8,51.8,51.36,30.56,52.72,51.64,51.32,32.16,29.12,29.0,31.04,29.92,62.92,63.24,64.0,30.36,48.96,50.92,52.16,30.36,49.88,50.76,52.12,32.16,29.12,28.6,29.4,29.92,62.28,62.72,63.88,31.52,46.96,48.28,50.6,31.68,46.8,47.4,51.0,32.48,29.28,28.08,28.76
34.84,53.84,58.0,58.8,30.36,46.04,47.44,50.48,31.32,45.64,47.04,50.48,31.4,29.12,31.16,31.0,34.84,52.92,57.08,58.8,30.2,46.04,50.36,50.52,31.16,45.64,49.96,50.52,31.4,31.24,32.56,31.0,34.84,54.96,55.72,58.8,30.36,46.12,47.16,50.2,31.32,45.72,48.12,50.2,31.4,31.16,30.16,30.32,34.84,54.96,55.92,58.8,30.2,46.68,46.64,50.04,31.04,46.28,47.6,49.68,31.4,32.64,31.24,30.88,34.84,56.36,56.2,59.2,30.08,47.56,49.16,48.32,30.28,48.52,49.28,48.76,31.0,33.48,32.48,31.8
29.68,64.36,66.4,67.28,32.6,54.28,56.96,58.64,32.72,54.28,56.88,58.52,33.12,33.0,31.68,33.76,29.68,66.12,65.08,67.28,32.52,54.28,57.0,57.84,32.6,54.28,56.92,57.72,33.16,33.48,32.92,33.4,29.68,67.04,65.12,67.28,32.6,54.36,56.6,58.04,32.72,54.36,56.52,57.92,33.16,33.24,33.4,31.68,29.68,67.04,65.12,67.28,32.52,53.96,56.12,58.28,32.52,53.96,56.04,57.84,33.16,33.28,33.24,34.48,29.68,66.84,65.04,67.52,32.24,54.0,54.12,57.16,32.4,53.96,53.72,56.28,33.48,34.68,34.08,32.2
32.24,62.36,60.56,60.64,30.08,53.76,56.24,56.16,30.16,52.6,55.08,56.04,32.32,28.76,29.84,33.2,32.24,61.44,61.36,60.64,30.0,53.76,57.16,57.0,30.08,52.6,56.0,56.88,32.28,30.16,32.4,32.76,32.24,60.72,61.24,60.64,30.08,53.8,56.2,57.28,30.16,52.64,55.04,56.56,32.28,30.88,33.28,33.28,32.24,60.72,60.72,60.64,30.0,54.0,56.04,57.2,30.0,52.84,55.36,56.48,32.28,29.36,34.16,33.24,32.24,59.6,61.2,61.12,29.44,53.44,56.52,56.64,29.36,52.28,55.32,55.72,32.52,30.64,32.68,33.16
30.0,68.24,66.36,64.76,30.28,55.0,56.28,55.64,30.4,55.0,56.32,55.68,32.84,31.36,31.6,32.72,30.0,67.52,66.6,64.76,30.2,55.0,54.72,55.32,30.32,55.0,54.68,55.28,32.84,30.6,31.28,32.0,30.0,66.68,66.56,64.76,30.28,54.28,54.36,55.44,30.4,54.28,54.32,55.16,32.8,30.88,30.2,31.72,30.0,66.68,67.56,64.76,30.2,52.52,55.4,54.88,30.2,52.52,55.28,54.6,32.8,32.4,30.12,31.08,30.0,67.16,67.08,64.96,30.96,51.12,52.72,55.68,31.52,51.08,52.68,55.4,32.92,33.88,32.4,32.0
28.96,70.56,67.44,68.16,32.48,54.2,59.04,61.0,31.64,54.36,59.2,61.08,33.4,31.48,32.72,34.32,28.96,70.0,68.8,68.16,32.36,54.2,58.48,60.0,31.52,54.36,58.56,60.08,33.4,30.0,35.84,34.2,28.96,69.68,68.28,68.16,32.48,54.32,58.16,58.32,31.64,54.48,58.32,58.36,33.4,30.84,33.24,32.48,28.96,69.68,67.56,68.16,32.36,54.28,57.24,58.24,31.48,54.44,57.24,58.28,33.4,33.48,31.68,33.76,28.96,68.96,68.08,68.48,32.04,54.08,58.8,59.68,31.44,54.16,58.88,59.4,33.6,34.08,32.16,33.24
