"(0.5, 1000, 'constant-epsilon', 0.1, 1)","(0.75, 1000, 'greedy', 0, 20)","(1, 1000, 'epsilon_greedy', 0.1, 5)","(0.75, 1000, 'constant-epsilon', 0.1, 5)","(1, 1000, 'boltzmann_exploration', 1.5, 10)"
40.76,61.92,50.44,50.6,24.08
36.64,65.64,49.32,50.24,29.96
31.76,61.76,52.36,51.56,28.04
33.2,70.4,57.36,57.48,29.0
30.48,64.0,46.8,48.96,28.08
30.36,58.8,48.52,46.68,32.48
32.6,67.28,53.96,53.96,34.08
30.08,60.64,52.28,54.0,32.68
30.28,64.76,51.08,52.52,32.4
32.48,68.16,54.16,54.28,32.16
30.0,69.92,49.52,49.56,34.92
30.12,59.88,48.2,49.04,29.92
31.92,52.52,42.2,43.16,30.36
32.44,54.56,44.44,45.32,33.16
32.44,68.68,52.32,50.48,33.6
34.44,63.0,55.84,55.8,33.64
31.92,66.52,59.64,58.64,39.76
29.24,60.44,50.24,50.68,33.2
33.56,62.56,47.84,47.52,33.52
31.44,62.04,49.28,50.52,31.68
30.0,63.44,54.24,55.08,35.72
31.16,65.24,48.88,48.6,37.84
33.6,66.52,50.68,49.6,39.08
33.0,63.4,48.92,46.8,30.72
29.84,66.48,52.76,51.76,33.36
30.0,60.72,54.44,51.4,33.8
29.0,57.08,45.92,45.24,32.72
29.48,58.2,45.36,46.44,34.36
30.72,67.72,53.24,54.68,38.68
33.12,62.08,50.08,48.76,36.6
32.56,61.44,46.96,48.48,36.16
32.96,58.52,47.64,49.48,35.48
32.04,62.04,43.68,44.56,37.84
34.08,73.6,55.92,56.8,36.44
34.88,61.68,55.24,55.84,40.88
32.8,61.32,47.6,49.6,34.24
33.96,65.72,54.6,55.64,37.84
31.24,65.16,48.92,49.52,38.16
32.96,65.12,50.96,51.16,37.88
30.32,69.68,51.92,52.64,35.64
32.72,58.48,47.72,47.56,39.44
35.84,67.04,56.16,57.64,41.72
34.24,60.48,52.0,52.8,40.88
31.48,67.96,53.84,53.12,39.32
34.08,57.04,46.12,46.72,36.84
31.6,66.76,58.2,53.44,40.44
32.52,58.48,53.36,55.68,36.72
31.16,64.2,54.16,55.64,40.28
35.44,63.0,48.56,47.64,40.16
34.16,64.52,47.12,48.6,38.84
31.88,53.6,41.2,41.68,38.8
31.56,64.68,52.28,49.96,44.4
31.56,73.12,51.6,54.44,49.08
32.4,64.84,47.12,48.4,42.28
33.88,65.52,50.68,50.84,45.6
31.24,53.4,43.72,43.64,35.4
29.28,64.84,50.64,49.64,39.16
31.24,68.08,49.16,48.64,40.08
30.2,59.36,49.2,52.32,39.48
30.2,68.96,53.84,54.16,41.56
30.76,61.0,45.72,43.44,43.08
30.76,70.84,55.72,55.12,42.8
32.12,66.12,51.28,51.56,45.76
32.84,67.12,54.84,54.96,46.8
31.0,67.44,50.32,44.92,38.96
32.72,65.0,47.6,47.08,36.72
34.48,65.0,50.36,47.08,45.72
33.68,61.28,47.96,48.4,42.96
33.68,64.48,49.8,47.92,45.32
31.8,60.04,40.56,41.56,41.56
34.88,62.8,46.96,48.28,42.04
34.44,71.4,57.92,61.76,47.36
33.8,67.44,51.28,51.36,43.44
34.68,59.72,45.56,48.72,41.64
32.84,66.2,54.32,56.08,47.96
34.6,66.2,46.36,51.72,40.88
35.76,60.04,43.68,46.84,41.24
33.0,67.36,44.0,46.6,44.0
30.72,59.08,45.84,46.68,41.96
32.72,57.32,47.12,45.76,42.16
33.16,60.36,42.6,43.48,42.36
35.56,62.0,47.36,50.4,46.52
33.52,70.88,53.52,50.84,44.24
33.08,55.76,50.04,48.48,38.84
35.12,66.32,53.12,47.76,38.96
30.76,61.2,47.84,46.28,46.44
33.32,63.32,46.52,46.64,46.36
34.24,65.72,47.64,46.64,46.12
34.84,59.08,45.64,46.0,43.04
33.96,67.32,55.12,56.8,43.6
32.64,57.56,50.08,53.36,39.48
32.84,70.48,53.6,51.24,45.84
32.56,69.68,46.48,47.2,45.76
32.84,63.36,53.4,50.76,45.12
31.2,63.12,44.76,50.76,43.44
35.12,61.48,47.08,50.0,42.44
34.6,62.84,48.56,48.72,41.6
33.92,63.56,45.76,47.6,42.28
33.2,67.48,49.0,47.28,43.64
32.12,61.44,43.6,44.12,38.16
35.56,72.8,51.52,49.2,52.2
31.48,69.76,54.6,52.76,46.32
31.36,62.28,50.56,50.52,45.92
32.72,71.48,56.8,54.36,51.52
33.8,68.36,52.44,54.0,43.28
32.6,65.36,49.6,50.6,40.88
30.24,57.64,48.8,46.84,40.56
30.92,62.32,48.04,49.4,41.76
31.8,70.6,52.84,53.6,46.96
35.32,59.24,49.8,50.48,42.16
29.36,59.8,40.28,42.32,34.88
34.6,57.64,46.04,43.44,36.28
32.72,66.04,50.96,50.92,42.96
33.16,65.04,47.0,48.32,43.44
32.0,66.12,52.92,52.8,51.4
31.8,69.28,52.8,54.24,45.88
33.92,72.44,51.04,47.52,52.84
33.0,66.6,46.84,49.4,50.56
32.28,73.36,50.48,51.52,50.32
33.2,65.72,45.28,53.4,43.56
35.68,65.12,46.12,52.16,45.28
34.48,72.92,46.92,50.88,48.08
32.48,64.68,47.56,49.8,46.24
35.0,70.24,42.88,52.8,50.32
31.36,69.2,45.76,52.68,44.92
30.52,66.44,43.48,49.52,47.48
33.0,72.84,56.64,57.84,54.52
32.12,57.48,46.0,46.32,43.64
33.88,66.44,45.6,50.24,49.56
31.88,59.24,47.04,44.8,42.36
33.92,67.56,48.04,47.76,44.48
34.36,68.32,43.36,44.32,44.12
36.92,62.6,45.12,44.88,42.88
30.84,63.84,49.96,45.44,43.08
31.8,73.84,54.24,54.28,48.8
32.56,64.04,54.96,48.6,44.16
33.16,66.44,48.96,46.2,39.6
32.96,58.24,43.52,39.36,44.2
31.52,70.36,45.88,46.68,39.28
31.24,65.56,47.6,45.12,44.16
30.28,58.76,46.64,44.88,40.32
36.68,66.36,46.84,43.84,49.36
34.48,58.68,38.36,43.44,39.0
32.44,72.32,51.92,50.12,44.16
33.2,67.04,46.52,45.36,50.24
34.88,67.44,45.0,45.48,48.96
31.36,68.8,44.72,38.0,48.36
31.56,70.28,45.68,48.04,46.36
31.32,64.36,47.48,45.12,42.44
31.92,64.96,48.92,42.36,55.56
31.0,52.0,40.12,39.88,41.52
35.16,63.32,51.28,53.04,47.6
32.36,69.04,57.76,54.32,50.84
35.28,63.28,50.8,45.72,44.84
32.0,64.32,49.68,52.72,46.44
29.96,66.92,53.32,50.68,45.84
31.12,59.2,50.56,48.56,44.76
32.56,60.44,50.16,53.96,46.84
32.36,71.28,52.48,52.96,48.0
32.28,62.56,47.44,47.0,42.2
30.92,64.68,50.12,47.84,45.96
31.44,63.08,47.8,46.52,42.64
30.4,59.28,40.96,46.88,41.56
34.04,57.64,47.96,45.68,43.92
31.92,57.04,46.48,45.72,44.04
29.6,65.88,47.92,50.0,45.16
31.84,66.52,52.88,50.72,50.68
33.64,65.92,49.4,50.4,49.36
34.96,66.0,39.72,43.48,45.52
33.6,69.08,43.88,44.12,41.96
32.48,62.8,50.12,48.2,37.92
29.84,62.8,51.84,51.52,45.52
29.96,68.4,51.72,50.64,51.84
30.16,63.84,49.84,43.76,44.72
34.4,65.24,47.36,45.4,48.72
33.24,61.36,45.28,42.44,45.72
30.44,67.72,50.28,50.8,50.48
34.84,68.4,54.92,53.08,51.44
34.32,66.2,50.88,50.28,46.6
34.04,66.0,47.96,49.88,43.84
34.72,68.32,48.88,46.4,56.56
30.0,60.64,41.6,42.08,45.16
32.6,66.88,44.96,43.56,45.76
30.12,60.36,42.92,50.6,44.96
31.56,67.0,51.16,54.12,51.56
34.52,65.0,41.08,46.24,46.4
33.52,60.44,41.6,42.08,41.16
32.16,55.8,39.8,40.0,44.68
35.16,62.0,41.4,38.08,44.08
32.68,56.68,45.28,35.92,42.84
31.44,70.88,48.6,46.64,52.4
35.76,68.2,48.96,44.56,50.28
31.48,61.16,43.8,44.56,45.64
31.8,58.28,49.64,43.88,46.84
32.48,58.08,45.8,39.16,47.92
31.84,65.2,51.28,52.0,43.88
37.44,65.8,51.68,51.92,48.12
30.6,58.96,45.04,43.8,45.64
32.68,65.52,44.36,47.6,46.24
32.92,64.72,55.68,49.4,50.96
34.88,71.72,54.76,47.24,53.64
31.36,63.08,43.88,45.6,43.12
32.92,62.44,42.12,41.84,45.84
33.56,69.48,50.16,47.88,54.32
30.2,58.52,47.04,46.2,45.88
34.96,67.92,48.92,46.56,54.04
36.32,63.32,40.08,43.48,46.4
31.76,69.68,55.4,58.04,49.84
37.0,70.2,50.56,51.24,50.6
30.64,58.72,38.2,39.96,48.56
33.84,61.76,40.84,43.36,46.4
34.88,57.24,38.92,42.16,43.8
32.16,66.24,52.8,51.0,52.32
36.08,70.72,47.6,50.32,50.8
34.88,72.04,50.44,48.36,63.0
36.64,63.12,46.52,49.36,52.44
31.08,57.04,45.36,50.36,53.88
31.48,74.4,50.08,51.52,51.68
35.48,62.4,47.4,46.76,48.12
38.56,64.96,44.0,52.08,49.92
34.04,68.16,54.4,57.32,53.84
31.04,61.8,44.56,41.92,47.6
33.76,67.48,47.04,48.4,52.92
36.88,61.56,45.0,44.64,44.2
34.36,58.16,35.4,39.52,45.24
34.56,66.56,46.04,52.72,51.76
32.0,58.28,44.68,43.6,47.12
33.32,65.68,44.28,44.12,53.4
35.52,61.28,40.48,47.56,48.12
33.68,59.92,44.64,43.96,50.6
34.2,69.84,48.68,48.44,53.44
32.52,63.44,41.72,40.72,47.04
31.52,61.72,42.64,44.56,43.64
32.6,62.72,41.76,43.56,48.28
31.2,62.56,47.92,43.96,50.44
33.28,74.4,51.96,50.76,57.96
32.68,70.6,46.32,43.44,49.96
30.12,67.36,49.4,50.0,53.08
33.48,61.8,46.12,45.28,45.4
33.92,65.08,46.32,46.12,55.64
34.36,67.08,50.0,49.04,49.52
33.72,60.24,48.84,46.8,51.2
32.88,64.68,44.16,40.32,46.48
32.08,64.96,43.96,45.76,48.52
31.12,68.2,46.68,44.76,47.48
37.2,75.48,59.68,54.96,55.96
32.96,68.88,52.16,53.12,55.12
31.52,59.08,43.44,41.28,44.36
32.8,60.2,52.28,45.88,49.72
36.08,66.52,52.44,52.4,53.68
31.2,67.24,51.44,48.56,52.88
34.48,64.04,46.2,41.84,52.08
33.52,68.36,50.4,48.4,51.12
34.56,67.12,45.6,46.92,51.52
36.2,68.92,53.12,49.72,53.88
34.44,64.76,50.2,51.88,49.68
36.56,74.4,48.96,47.0,56.4
34.52,63.0,46.28,43.4,49.24
31.6,58.36,43.4,43.4,44.32
36.68,80.48,54.92,53.92,58.4
32.12,64.36,45.04,46.04,53.6
33.84,57.32,39.0,41.4,46.4
31.68,55.08,39.76,41.32,46.32
33.0,58.6,42.36,48.12,46.84
34.28,62.04,42.8,45.88,52.8
34.0,69.08,50.68,48.64,51.72
34.88,62.72,47.12,51.76,51.0
37.88,67.6,41.84,40.88,55.24
37.44,69.32,46.36,47.4,53.04
40.32,67.08,42.4,52.36,54.56
34.2,57.96,43.6,47.64,50.2
31.12,52.76,36.0,42.72,47.8
35.24,62.64,43.12,42.88,51.28
34.96,65.64,46.72,47.72,54.68
33.8,62.96,45.52,44.2,51.44
34.6,68.08,49.96,50.68,56.4
35.72,64.76,47.92,47.6,55.4
36.64,60.8,43.16,42.68,50.36
36.48,66.24,46.6,49.88,50.72
35.48,61.8,44.08,47.04,51.2
39.96,74.76,47.8,55.28,55.28
33.24,63.48,43.8,45.04,49.44
34.52,58.0,43.24,41.8,52.72
36.6,67.0,55.4,53.28,49.56
35.6,54.68,40.28,37.72,45.68
38.72,61.16,40.68,38.04,45.68
35.52,66.92,46.76,47.56,46.24
35.56,67.8,48.88,49.32,52.08
33.36,66.92,48.56,50.04,52.24
38.36,58.44,38.88,41.12,44.68
38.32,63.64,48.96,47.88,47.6
35.16,64.0,41.36,42.96,47.6
35.8,66.04,45.16,39.04,48.6
32.8,60.96,48.92,44.52,49.92
42.28,66.16,45.44,45.2,48.52
38.92,69.68,52.24,48.44,57.84
38.44,67.24,45.28,43.6,50.2
33.92,66.6,50.2,46.84,51.52
35.96,61.0,42.52,40.88,50.32
36.32,64.88,44.76,41.88,52.52
40.48,71.16,53.4,52.12,56.56
35.12,64.76,43.52,44.8,52.64
36.0,70.36,45.72,46.68,59.48
33.4,68.44,54.8,50.04,56.76
35.08,59.2,50.92,44.16,45.52
38.36,69.64,46.08,49.96,56.16
34.52,64.4,46.48,49.88,57.88
38.44,65.72,50.52,45.84,53.44
35.44,64.6,43.6,48.76,55.4
37.44,66.44,45.32,50.44,58.32
38.92,69.04,51.64,55.0,61.72
37.6,64.4,46.24,46.24,55.12
37.76,66.64,45.16,51.56,56.56
37.28,61.48,43.6,48.96,52.84
32.88,62.76,46.52,48.36,54.04
39.08,65.88,46.44,51.0,57.32
38.84,66.56,45.2,51.56,54.76
39.44,71.08,50.68,51.48,57.0
39.72,68.32,47.88,47.16,59.88
35.96,54.24,36.96,41.84,46.32
38.24,65.4,50.48,51.48,57.08
37.48,71.08,46.68,53.84,55.92
34.6,55.04,44.84,41.32,46.0
37.48,67.08,45.64,48.4,48.28
36.36,57.12,46.84,46.88,47.8
43.12,66.8,48.64,53.84,56.28
39.2,62.4,48.56,50.72,53.24
