"('greedy_selection', 'moment_updating')","('q_value_sampling', 'moment_updating')","('myopic_vpi_selection', 'moment_updating')"
29.76,26.16,28.44
27.16,26.68,30.56
29.64,25.92,33.84
29.04,25.44,27.4
33.88,26.68,32.92
32.6,28.2,38.28
32.28,25.8,38.72
31.32,26.08,33.84
35.92,28.04,36.24
30.64,27.64,37.8
31.84,27.96,32.68
29.96,28.36,37.16
31.0,26.16,35.96
27.88,35.04,37.72
33.04,29.16,38.36
31.68,28.92,36.88
32.36,28.68,36.92
33.4,29.96,34.64
29.28,29.28,36.32
29.48,31.56,36.48
30.84,29.72,39.64
32.28,31.84,36.48
28.08,26.32,34.36
29.08,31.36,39.08
28.76,29.52,35.88
33.64,31.32,39.0
30.76,35.6,33.64
31.28,29.28,38.2
30.32,26.24,37.12
32.6,34.32,36.52
30.12,35.2,33.36
32.12,34.24,35.48
33.32,30.76,36.44
34.24,28.72,42.08
27.84,29.56,32.96
29.76,33.8,39.96
31.8,32.2,37.08
29.72,36.92,38.56
30.56,28.76,38.72
34.0,32.84,38.6
32.4,34.12,33.76
33.28,32.36,40.92
32.6,35.72,40.6
34.68,33.08,34.08
37.52,32.04,35.28
29.4,35.16,39.76
30.2,30.56,37.28
27.72,36.72,34.4
37.48,38.28,33.0
30.4,36.24,39.68
29.08,34.52,37.48
30.56,35.32,35.76
29.68,34.8,33.8
28.68,29.84,35.68
29.72,31.56,35.84
28.88,33.48,37.16
31.2,34.76,36.84
30.88,33.4,37.16
33.96,38.24,37.4
32.0,35.76,36.16
34.28,38.16,35.0
29.48,35.96,37.24
30.0,37.92,33.72
29.64,35.88,38.68
30.28,34.56,39.12
29.12,38.92,39.92
29.16,32.72,36.08
28.04,34.36,39.04
29.96,39.04,38.24
30.04,40.12,34.04
31.76,37.32,35.72
33.4,34.72,37.0
32.68,32.68,40.84
30.52,40.04,36.72
31.0,36.68,38.12
30.16,34.0,36.72
32.76,41.56,37.08
31.56,35.76,36.48
29.4,38.92,41.6
32.32,40.32,33.68
35.68,40.04,38.04
28.12,42.0,35.08
31.76,36.96,35.4
29.84,37.12,37.32
28.72,39.04,41.64
34.4,34.08,34.2
34.08,37.28,38.36
29.92,39.96,34.4
31.08,41.6,39.88
29.88,39.56,36.96
28.16,41.92,37.12
32.16,42.96,37.44
30.76,35.68,36.04
34.24,41.92,35.12
32.68,39.56,38.96
36.0,42.32,33.6
32.32,41.24,34.32
38.48,38.4,35.92
31.28,41.08,33.12
31.84,35.48,39.04
28.12,38.72,38.76
29.92,35.92,35.48
28.8,42.92,36.08
26.4,41.44,35.84
29.96,40.56,39.0
32.52,39.6,38.44
31.24,45.24,38.36
35.32,41.8,38.0
32.68,39.88,34.64
30.6,40.92,36.04
29.48,38.04,38.44
34.92,43.6,35.8
34.8,43.12,38.56
28.56,46.16,35.76
24.76,45.48,37.0
30.04,43.64,33.6
29.0,42.88,35.44
30.92,38.48,36.24
34.0,44.08,39.12
30.92,41.2,36.48
28.16,41.96,35.84
30.88,42.2,35.36
25.0,43.36,37.0
28.24,43.72,34.52
31.8,47.48,40.16
30.84,38.92,38.2
31.24,49.16,33.4
31.36,40.48,43.68
31.36,41.52,36.36
30.8,44.88,35.88
29.88,46.64,38.0
31.48,40.96,35.48
36.72,45.08,40.36
36.4,39.72,30.76
30.72,46.48,33.88
27.44,44.0,40.08
32.68,46.12,32.92
34.44,44.68,35.84
32.08,41.08,33.84
28.96,51.52,42.76
27.68,49.56,39.88
25.8,45.36,33.96
33.2,41.84,36.24
30.76,48.32,36.08
30.28,48.44,36.56
30.92,44.04,37.88
28.76,53.84,40.0
31.8,46.92,39.88
33.84,42.2,35.0
31.68,51.08,36.44
30.4,49.56,33.56
30.76,43.08,36.4
29.56,44.12,36.88
28.56,49.88,31.8
31.68,50.32,36.16
30.32,47.16,36.56
30.4,44.12,39.84
30.4,48.44,36.16
31.44,40.96,37.48
32.72,47.48,37.44
29.72,49.4,36.2
33.6,49.76,38.6
30.4,48.68,36.48
33.8,47.8,40.12
33.0,45.24,40.64
28.28,43.12,37.32
28.28,42.96,35.76
34.72,47.2,37.4
28.44,45.0,36.48
29.72,45.0,36.44
32.96,45.84,36.24
28.52,52.68,34.52
32.84,50.2,38.76
36.48,47.56,35.48
33.68,46.44,38.76
35.12,44.48,36.64
27.16,37.88,34.48
29.0,43.8,34.6
33.32,53.56,38.28
30.44,46.48,40.92
29.8,53.36,35.32
26.68,47.56,39.76
34.04,48.24,34.84
34.6,45.32,38.48
29.6,44.68,37.08
29.8,46.88,37.48
34.56,46.16,37.88
32.92,49.8,38.16
31.56,51.6,38.04
31.2,43.4,36.12
30.64,49.92,35.24
27.32,50.96,37.44
29.64,50.36,42.2
32.44,53.72,30.64
30.84,47.76,35.16
32.64,54.2,41.16
28.08,47.04,33.64
26.16,40.84,32.2
30.68,43.76,39.92
36.52,44.56,35.72
32.24,49.0,34.2
28.32,51.76,39.6
33.4,56.16,33.08
29.2,42.28,35.2
32.96,49.28,38.64
28.56,51.2,34.6
27.04,40.4,36.24
34.08,44.16,38.4
28.52,46.48,38.64
33.12,50.84,32.92
34.0,51.6,38.52
30.76,61.72,37.96
29.96,59.0,39.44
37.24,56.64,34.6
27.8,48.04,39.64
32.28,56.92,38.16
31.92,53.72,36.64
30.88,55.52,39.08
26.92,49.4,34.44
32.12,49.28,42.44
30.28,48.12,33.56
29.76,49.68,35.04
31.88,47.0,37.32
32.4,61.76,39.2
26.84,49.12,40.0
29.64,55.36,38.2
