"('greedy_selection', 'moment_updating')","('q_value_sampling', 'moment_updating')","('myopic_vpi_selection', 'moment_updating')"
32.0,27.2,22.92
33.12,24.72,29.36
34.72,30.48,31.52
32.12,28.56,28.6
33.32,27.32,30.52
33.64,26.92,25.24
32.84,26.68,35.24
32.32,30.36,33.76
31.6,25.84,30.24
32.96,27.96,35.4
34.92,29.72,37.4
35.24,28.88,35.88
32.32,27.28,35.56
33.88,31.96,33.16
32.04,30.04,35.52
35.6,29.56,34.8
33.44,32.16,34.36
33.56,30.6,34.56
33.48,29.56,34.24
35.48,35.28,35.16
34.24,35.12,35.36
33.92,29.8,34.2
33.52,31.48,37.68
34.96,31.6,34.92
34.32,32.0,34.6
34.44,35.24,35.16
32.76,30.64,33.0
33.44,35.52,37.36
32.84,32.08,34.16
32.92,33.96,35.4
35.36,34.24,35.08
36.24,32.64,33.96
33.84,34.48,36.4
36.12,39.76,35.08
35.56,30.32,37.04
32.28,35.08,35.92
32.76,34.4,33.8
32.48,35.28,35.96
35.28,35.92,35.8
37.08,37.88,35.08
35.68,35.48,34.16
34.24,33.56,40.16
36.0,41.8,36.08
33.36,39.84,36.92
35.64,34.36,34.68
32.24,35.12,36.64
34.64,40.2,35.88
33.32,41.12,34.92
34.24,40.64,35.64
35.56,41.96,34.16
32.68,39.04,35.0
33.08,43.32,37.56
32.56,36.52,37.44
34.0,40.44,34.12
34.0,35.52,35.64
32.92,41.2,33.6
34.44,37.84,40.2
32.44,43.0,37.96
33.08,39.36,34.76
36.12,43.6,35.24
33.52,37.6,34.92
37.96,36.08,34.12
34.0,40.4,41.48
35.24,43.2,38.0
34.84,36.12,37.48
34.32,40.76,35.4
35.12,41.72,35.64
34.12,43.64,34.32
36.16,38.68,38.12
34.52,37.12,35.56
37.8,38.08,35.12
34.84,38.84,37.04
34.48,44.08,39.04
35.24,43.0,38.96
37.36,40.36,36.44
32.48,46.08,35.56
35.2,35.52,34.64
37.52,40.64,35.64
34.84,46.68,35.04
36.8,40.36,35.56
35.24,45.64,35.32
35.24,38.6,37.32
35.96,40.24,36.0
33.36,41.88,34.88
34.88,48.64,38.56
35.04,42.8,36.92
34.72,44.96,38.4
32.76,45.96,38.52
35.04,45.92,35.0
33.52,40.8,34.88
33.6,50.24,35.04
36.88,49.72,37.36
35.88,43.04,36.0
33.0,45.84,36.36
34.48,44.68,40.24
33.48,38.24,36.04
32.64,43.32,35.28
33.72,48.4,37.88
32.08,49.6,35.32
37.56,43.4,34.48
36.0,47.48,36.68
35.76,44.96,36.28
35.68,44.68,35.52
32.52,44.0,36.36
32.6,42.4,35.44
34.12,50.72,35.76
35.48,46.72,35.12
32.24,40.16,36.68
35.8,42.68,36.08
36.2,43.08,38.96
33.92,40.2,35.32
37.52,47.12,35.36
34.56,48.4,37.8
33.2,52.12,38.76
34.28,40.52,37.88
36.08,45.96,35.96
35.28,41.28,35.84
36.32,45.32,36.24
33.96,48.76,39.92
36.84,41.64,36.64
35.56,49.56,35.32
33.36,43.8,37.04
36.52,44.24,38.32
34.68,41.84,36.0
34.28,44.72,34.84
33.6,48.56,35.16
33.08,41.8,35.16
37.48,41.04,33.56
34.72,47.64,36.16
35.8,42.84,37.44
34.96,47.2,38.12
35.72,45.96,34.68
38.72,46.56,38.28
34.92,44.08,36.52
34.28,41.28,39.8
33.96,42.72,35.08
33.36,52.8,36.28
34.4,44.08,37.72
38.44,44.96,34.32
34.16,45.76,35.44
34.64,43.92,34.72
33.76,45.2,37.72
34.8,43.04,38.04
33.68,52.16,36.68
35.8,44.36,34.48
35.2,52.76,35.48
35.2,45.96,34.64
35.2,50.16,35.16
35.32,43.0,36.72
33.88,46.48,34.92
34.76,41.44,32.4
34.96,46.68,37.4
36.76,45.32,35.64
34.4,43.28,36.88
35.32,47.36,36.84
40.2,48.48,37.48
35.52,45.4,34.08
38.72,44.68,33.72
35.76,47.0,35.16
40.12,46.28,34.92
33.6,47.56,34.88
33.84,49.32,35.48
36.16,46.28,36.72
33.2,43.28,38.08
33.96,49.56,35.64
34.64,49.12,34.96
38.12,42.16,37.76
35.12,42.56,36.88
34.24,44.64,34.88
35.44,49.16,35.72
35.88,48.12,36.36
34.4,47.0,34.52
35.04,45.84,37.44
38.16,46.48,35.12
37.44,48.0,34.56
32.8,49.08,38.2
32.64,52.84,35.6
35.44,51.76,33.96
34.72,49.0,37.56
33.92,39.88,35.6
36.48,43.92,35.68
33.2,47.08,35.92
34.32,48.6,35.32
34.48,46.28,36.04
36.76,47.84,37.2
34.96,44.76,35.92
35.96,47.88,35.24
32.2,48.92,35.8
34.92,46.92,35.8
37.2,52.76,33.4
37.56,43.8,36.4
32.88,45.84,34.48
37.88,50.64,37.8
34.16,47.32,34.8
34.64,45.64,34.8
36.6,46.44,38.88
37.6,51.44,36.76
34.28,48.32,35.12
33.64,46.52,36.84
35.04,52.44,35.24
37.84,51.72,35.84
37.24,56.16,37.88
35.6,50.0,38.16
36.4,55.4,36.32
35.16,49.52,34.92
34.8,53.28,35.76
33.52,46.76,39.36
34.44,46.12,38.44
33.56,48.44,35.8
32.0,49.68,35.84
35.56,46.48,35.16
35.76,52.32,36.6
34.4,41.04,35.48
34.56,55.72,35.2
36.32,56.64,36.36
36.28,56.64,36.04
34.24,50.92,35.04
34.44,46.52,39.04
41.48,45.24,35.28
32.6,44.72,35.64
33.04,41.52,37.28
35.44,47.52,36.24
37.4,43.24,36.68
35.16,46.8,34.48
36.24,52.12,38.16
39.6,45.68,38.52
33.04,61.92,36.48
35.8,47.04,37.2
36.28,44.16,39.44
33.48,42.84,39.84
34.76,53.76,36.12
33.2,48.92,33.36
37.64,51.52,35.16
34.92,48.2,35.16
34.4,48.4,35.36
