"('greedy_selection', 'moment_updating')","('q_value_sampling', 'moment_updating')","('myopic_vpi_selection', 'moment_updating')"
32.0,36.0,32.0
20.0,35.6,20.0
31.6,30.8,31.6
16.8,26.0,16.8
26.4,22.4,26.4
31.6,25.6,31.6
27.2,26.0,27.2
26.8,26.8,26.8
38.4,36.0,38.4
24.0,28.8,24.0
20.0,38.4,20.0
24.4,24.4,24.4
41.2,26.8,41.2
20.4,23.6,20.4
25.2,24.4,25.2
29.2,36.8,29.2
23.2,38.4,23.2
19.2,41.6,19.2
22.0,56.4,22.0
19.6,28.4,19.6
19.2,32.0,19.2
19.6,26.4,19.6
25.2,31.2,25.2
18.0,25.6,18.0
35.2,29.2,35.2
23.2,21.2,23.2
32.8,24.0,32.8
18.0,31.2,18.0
30.8,43.2,30.8
32.8,21.6,32.8
20.4,34.8,20.4
25.6,24.4,25.6
32.0,27.2,32.0
30.4,33.6,30.4
24.8,43.6,24.8
22.4,28.8,22.4
18.8,30.4,18.8
26.4,29.2,26.4
34.8,42.4,34.8
25.2,32.0,25.2
20.0,45.2,20.0
29.6,24.4,29.6
26.0,35.6,26.0
42.8,29.6,42.8
25.6,34.0,25.6
19.2,25.6,19.2
18.4,47.2,18.4
34.0,34.0,34.0
35.6,36.0,35.6
20.0,27.6,20.0
20.0,40.8,20.0
44.4,30.4,44.4
46.4,36.0,46.4
17.6,31.2,17.6
36.4,38.4,36.4
32.4,23.2,32.4
44.4,26.0,44.4
22.8,25.6,22.8
26.0,28.8,26.0
24.8,28.4,24.8
27.6,49.2,27.6
48.0,31.2,48.0
29.2,30.8,29.2
36.8,38.0,36.8
20.8,50.0,20.8
25.2,28.8,25.2
42.0,44.4,42.0
30.0,23.6,30.0
31.2,24.4,31.2
24.8,52.8,24.8
19.6,38.8,19.6
30.8,19.6,30.8
28.4,44.0,28.4
18.8,27.2,18.8
19.6,32.8,19.6
42.0,38.8,42.0
17.6,23.2,17.6
18.4,50.0,18.4
26.0,41.2,26.0
17.6,29.6,17.6
30.4,19.2,30.4
25.6,48.8,25.6
32.8,24.0,32.8
43.6,31.6,43.6
19.2,30.4,19.2
28.8,27.6,28.8
18.8,54.8,18.8
20.0,38.4,20.0
21.6,29.6,21.6
18.4,34.8,18.4
21.6,28.0,21.6
19.2,20.4,19.2
21.6,27.6,21.6
26.0,33.2,26.0
40.4,23.2,40.4
24.4,34.8,24.4
22.8,39.6,22.8
32.4,27.6,32.4
20.4,29.6,20.4
23.2,27.6,23.2
32.4,26.8,32.4
37.2,31.6,37.2
26.0,27.6,26.0
18.8,30.4,18.8
20.0,34.4,20.0
34.8,34.4,34.8
28.4,44.0,28.4
37.6,25.2,37.6
25.6,30.8,25.6
34.0,45.2,34.0
38.4,39.2,38.4
42.0,31.6,42.0
25.6,34.4,25.6
19.6,27.2,19.6
32.0,34.0,32.0
20.0,27.6,20.0
42.4,30.4,42.4
27.2,30.8,27.2
32.4,32.0,32.4
17.6,32.0,17.6
41.6,21.6,41.6
37.2,23.2,37.2
29.2,31.6,29.2
27.6,49.2,27.6
22.4,32.0,22.4
28.0,27.6,28.0
16.4,24.8,16.4
32.0,23.6,32.0
18.8,32.8,18.8
19.6,46.8,19.6
24.8,30.8,24.8
22.8,28.8,22.8
20.8,21.2,20.8
20.0,33.6,20.0
36.0,64.8,36.0
21.6,37.2,21.6
18.4,46.4,18.4
21.2,24.0,21.2
26.4,36.0,26.4
17.2,27.6,17.2
18.8,28.0,18.8
20.4,22.8,20.4
48.4,37.6,48.4
19.6,45.2,19.6
45.6,32.8,45.6
21.2,46.8,21.2
