greedy,constant-epsilon,epsilon-greedy,boltzmann-exploration
27.48,30.2,28.24,29.68
34.88,29.56,32.92,29.2
28.72,33.64,27.76,29.32
32.48,30.88,31.68,27.04
29.68,30.68,28.72,30.92
31.96,28.68,33.64,28.84
32.28,29.36,33.88,29.2
35.16,31.84,29.8,29.28
30.44,31.16,27.92,32.6
33.52,29.8,31.64,31.84
30.52,29.24,30.64,30.8
28.56,30.4,28.08,32.16
30.24,30.12,33.16,30.12
25.52,29.76,28.56,30.4
37.2,29.52,39.16,30.48
29.44,29.48,33.48,28.92
31.36,31.44,30.72,31.56
26.68,30.08,29.6,31.56
28.24,30.04,27.84,30.04
29.64,33.4,33.16,30.96
29.04,31.64,34.88,31.96
30.92,29.08,29.16,31.96
28.04,33.8,33.88,30.4
32.92,30.12,33.28,29.72
27.64,34.52,28.92,29.48
34.72,33.08,36.8,29.88
28.92,31.28,33.08,29.4
31.32,30.12,28.76,30.8
30.16,29.96,32.64,30.4
29.76,32.52,32.48,32.32
30.64,31.96,31.28,29.6
33.16,31.32,29.68,29.92
29.84,32.4,32.04,30.52
29.96,30.12,32.6,31.2
35.2,29.6,36.64,31.2
29.32,33.24,33.44,30.72
31.12,31.6,32.52,30.0
31.48,32.56,31.24,31.96
31.04,33.04,30.8,28.96
28.88,30.76,31.2,30.32
31.08,29.36,33.16,30.28
31.64,29.52,29.08,30.52
29.2,34.2,31.36,30.24
28.4,29.4,32.44,30.52
26.64,31.6,30.44,32.0
32.36,28.68,33.04,32.4
33.6,31.48,30.2,32.44
29.16,30.88,29.08,30.6
33.72,34.52,32.6,30.76
31.8,31.44,33.08,31.32
29.44,36.24,31.48,31.12
31.56,31.4,32.72,31.24
31.36,30.76,37.76,32.08
26.76,30.28,31.44,31.24
29.32,31.08,32.0,30.76
30.92,29.68,34.36,32.52
33.44,31.2,32.16,30.56
32.84,32.84,32.88,30.88
36.16,30.2,34.24,31.24
31.84,34.92,34.48,30.84
33.04,30.4,31.56,32.04
33.52,31.0,35.36,31.44
33.48,31.72,36.32,31.68
30.92,32.36,29.48,30.68
29.28,32.72,27.96,31.2
31.04,32.8,31.68,30.64
29.28,32.84,29.56,32.72
35.32,31.0,35.64,33.36
31.36,29.68,37.44,31.16
33.16,31.08,31.36,32.08
29.36,29.44,30.84,32.08
28.08,30.44,29.4,30.76
31.32,29.4,32.6,31.76
28.84,29.6,31.88,31.12
33.84,31.04,39.12,31.12
34.0,33.56,33.48,30.72
32.72,31.2,30.76,30.84
32.52,31.4,31.48,31.96
29.48,28.72,30.2,31.8
34.76,33.48,33.4,30.6
33.8,30.44,35.12,32.56
33.2,31.32,30.52,31.68
26.96,34.04,36.28,30.52
32.08,30.76,32.68,31.96
34.16,32.12,37.04,30.44
30.72,30.4,30.44,33.6
30.04,29.84,31.56,32.04
30.36,32.52,35.0,30.32
30.24,31.56,28.48,31.32
30.92,31.84,32.48,32.28
32.16,33.88,33.6,30.8
30.48,32.64,29.84,31.32
31.48,32.44,32.04,30.96
33.36,30.76,34.36,31.52
29.64,33.88,27.16,33.2
29.6,31.52,32.52,31.6
35.44,33.44,36.0,31.6
36.96,32.28,35.44,31.84
32.2,32.48,32.36,31.08
28.0,30.72,31.44,31.72
27.6,32.0,28.68,31.0
29.16,31.24,29.8,32.48
31.32,31.32,35.24,31.8
28.68,33.48,32.68,32.08
26.4,34.28,26.72,31.72
33.68,30.16,31.32,31.08
27.52,29.32,34.08,30.96
30.04,35.08,31.16,30.84
31.72,31.08,34.08,30.8
25.68,36.48,31.0,30.76
33.0,30.8,34.52,33.04
27.8,32.84,27.56,31.72
32.48,31.84,31.64,30.16
32.52,32.32,34.8,31.16
31.76,34.72,34.2,31.04
32.36,30.72,36.32,33.12
28.88,31.08,32.64,32.96
27.6,31.04,32.92,31.84
31.32,32.76,35.28,31.48
33.92,31.16,36.76,33.4
31.72,32.44,30.36,30.8
32.84,30.88,34.48,30.56
30.96,30.8,31.52,31.32
30.76,32.44,28.28,32.88
35.32,31.32,35.92,31.96
33.88,29.6,31.76,30.8
28.44,30.28,31.52,32.24
31.08,28.56,34.0,31.08
32.2,33.36,30.2,30.52
33.6,30.96,35.0,32.28
33.16,34.2,31.32,32.16
32.04,31.12,33.2,30.6
32.0,31.24,29.64,33.48
29.32,30.64,34.72,31.16
30.88,30.88,28.28,32.44
30.24,33.28,33.72,33.28
32.16,30.92,35.04,30.72
32.0,30.84,35.92,30.8
28.6,27.84,33.04,33.08
27.72,32.08,29.08,31.36
31.04,35.32,33.12,30.56
