,0,1
"(0, 1000, 'greedy', 0, 1)",168.0,7.58946638440411
"(0, 1000, 'greedy', 0, 5)",170.6,6.135144660071187
"(0, 1000, 'greedy', 0, 10)",169.8,4.422668877499196
"(0, 1000, 'greedy', 0, 20)",169.0,8.8656641037206
"(0, 1000, 'epsilon_greedy', 0.1, 1)",167.0,10.401922899156675
"(0, 1000, 'epsilon_greedy', 0.1, 5)",167.8,9.4424573072903
"(0, 1000, 'epsilon_greedy', 0.1, 10)",170.8,10.12719112093773
"(0, 1000, 'epsilon_greedy', 0.1, 20)",167.2,8.908422980528035
"(0, 1000, 'boltzmann_exploration', 1.5, 1)",169.0,5.60357029044876
"(0, 1000, 'boltzmann_exploration', 1.5, 5)",169.0,5.60357029044876
"(0, 1000, 'boltzmann_exploration', 1.5, 10)",169.0,5.60357029044876
"(0, 1000, 'boltzmann_exploration', 1.5, 20)",167.0,8.910667763978186
"(0.25, 1000, 'greedy', 0, 1)",168.0,7.58946638440411
"(0.25, 1000, 'greedy', 0, 5)",170.6,6.135144660071187
"(0.25, 1000, 'greedy', 0, 10)",169.8,4.422668877499196
"(0.25, 1000, 'greedy', 0, 20)",169.2,8.863407922464134
"(0.25, 1000, 'epsilon_greedy', 0.1, 1)",167.0,10.401922899156675
"(0.25, 1000, 'epsilon_greedy', 0.1, 5)",167.8,9.4424573072903
"(0.25, 1000, 'epsilon_greedy', 0.1, 10)",170.8,10.12719112093773
"(0.25, 1000, 'epsilon_greedy', 0.1, 20)",167.2,8.908422980528035
"(0.25, 1000, 'boltzmann_exploration', 1.5, 1)",169.0,5.60357029044876
"(0.25, 1000, 'boltzmann_exploration', 1.5, 5)",168.8,5.74108003776293
"(0.25, 1000, 'boltzmann_exploration', 1.5, 10)",169.0,5.60357029044876
"(0.25, 1000, 'boltzmann_exploration', 1.5, 20)",169.0,5.60357029044876
"(0.5, 1000, 'greedy', 0, 1)",168.0,7.58946638440411
"(0.5, 1000, 'greedy', 0, 5)",181.0,32.25213171249305
"(0.5, 1000, 'greedy', 0, 10)",169.8,4.422668877499196
"(0.5, 1000, 'greedy', 0, 20)",169.2,8.863407922464134
"(0.5, 1000, 'epsilon_greedy', 0.1, 1)",167.0,10.401922899156675
"(0.5, 1000, 'epsilon_greedy', 0.1, 5)",196.0,83.85702117294652
"(0.5, 1000, 'epsilon_greedy', 0.1, 10)",169.8,10.13706071797935
"(0.5, 1000, 'epsilon_greedy', 0.1, 20)",167.2,8.908422980528035
"(0.5, 1000, 'boltzmann_exploration', 1.5, 1)",169.0,5.60357029044876
"(0.5, 1000, 'boltzmann_exploration', 1.5, 5)",150.4,25.358233376952743
"(0.5, 1000, 'boltzmann_exploration', 1.5, 10)",163.6,17.453939383417143
"(0.5, 1000, 'boltzmann_exploration', 1.5, 20)",163.6,17.453939383417143
"(0.75, 1000, 'greedy', 0, 1)",168.0,7.58946638440411
"(0.75, 1000, 'greedy', 0, 5)",221.2,92.20932707703707
"(0.75, 1000, 'greedy', 0, 10)",211.4,53.21691460428723
"(0.75, 1000, 'greedy', 0, 20)",180.2,29.859001992698953
"(0.75, 1000, 'epsilon_greedy', 0.1, 1)",167.0,10.401922899156675
"(0.75, 1000, 'epsilon_greedy', 0.1, 5)",200.6,78.37882367068289
"(0.75, 1000, 'epsilon_greedy', 0.1, 10)",220.6,90.37720951655898
"(0.75, 1000, 'epsilon_greedy', 0.1, 20)",190.6,50.19203124002853
"(0.75, 1000, 'boltzmann_exploration', 1.5, 1)",164.2,15.759441614473527
"(0.75, 1000, 'boltzmann_exploration', 1.5, 5)",156.4,38.19738210924932
"(0.75, 1000, 'boltzmann_exploration', 1.5, 10)",198.4,91.19122764827766
"(0.75, 1000, 'boltzmann_exploration', 1.5, 20)",161.4,20.66978471102203
"(1, 1000, 'greedy', 0, 1)",167.8,7.291090453423273
"(1, 1000, 'greedy', 0, 5)",262.0,123.55727416870283
"(1, 1000, 'greedy', 0, 10)",302.4,96.38589108370583
"(1, 1000, 'greedy', 0, 20)",216.8,97.62458706698841
"(1, 1000, 'epsilon_greedy', 0.1, 1)",166.8,10.514751542475933
"(1, 1000, 'epsilon_greedy', 0.1, 5)",214.2,78.25829029566133
"(1, 1000, 'epsilon_greedy', 0.1, 10)",260.0,116.30993078838969
"(1, 1000, 'epsilon_greedy', 0.1, 20)",207.0,67.82477423478828
"(1, 1000, 'boltzmann_exploration', 1.5, 1)",164.0,16.321764610482532
"(1, 1000, 'boltzmann_exploration', 1.5, 5)",228.8,113.65984339246646
"(1, 1000, 'boltzmann_exploration', 1.5, 10)",253.8,94.56193737440029
"(1, 1000, 'boltzmann_exploration', 1.5, 20)",181.0,66.95819591356982
