"(0, 1000, 'epsilon_greedy', 0.1, 10)","(0.75, 1000, 'greedy', 0, 5)","(1, 1000, 'greedy', 0, 10)","(1, 1000, 'epsilon_greedy', 0.1, 10)","(1, 1000, 'boltzmann_exploration', 1.5, 10)"
58.8,57.2,57.2,58.8,24.4
74.0,98.4,98.4,74.0,31.2
64.4,75.2,75.2,65.6,26.0
62.0,76.0,76.0,65.2,35.2
54.4,60.0,60.0,49.2,31.6
32.8,46.4,46.4,28.4,35.6
51.6,73.6,73.6,71.2,30.4
73.6,80.8,80.8,73.6,44.0
44.8,55.2,55.2,44.8,32.8
50.8,70.8,70.8,45.6,42.0
44.8,55.2,55.2,44.8,32.4
65.6,60.8,60.8,64.4,29.2
48.8,62.4,62.4,49.2,26.8
58.4,76.8,76.8,58.0,40.0
61.6,66.4,66.4,60.8,40.8
58.4,58.4,58.4,55.2,29.2
48.8,66.8,66.8,52.4,30.8
52.8,60.8,60.8,51.2,44.0
52.8,53.2,53.2,50.4,40.8
56.8,79.2,79.2,54.0,38.8
35.2,60.8,60.8,50.0,32.8
46.8,59.6,59.6,39.6,39.2
84.4,94.8,94.8,84.4,54.4
30.0,40.8,40.8,30.0,28.4
76.8,88.8,88.8,76.8,51.2
49.2,81.6,81.6,49.2,30.0
35.2,48.8,48.8,31.2,34.0
49.2,47.6,47.6,46.8,42.8
49.2,69.2,69.2,49.2,39.6
43.2,47.6,47.6,43.2,33.6
48.0,62.4,62.4,47.2,30.0
51.6,73.6,73.6,55.2,30.4
42.8,50.8,50.8,45.2,32.4
42.0,76.4,76.4,46.8,27.2
64.0,72.8,72.8,45.2,20.4
22.4,43.2,43.2,28.0,26.4
68.8,87.6,87.6,35.2,30.8
49.6,82.8,82.8,49.2,39.2
39.2,53.6,53.6,40.0,32.4
49.6,70.4,70.4,45.6,27.2
50.8,58.0,58.0,43.2,27.6
62.4,84.0,84.0,57.6,48.0
50.8,57.6,57.6,37.6,24.0
51.6,88.0,88.0,58.8,38.8
59.2,61.2,61.2,43.6,36.0
56.8,72.0,72.0,59.6,27.2
37.2,54.0,54.0,32.0,29.2
57.2,65.2,65.2,55.2,44.8
49.6,54.8,54.8,42.0,32.0
35.6,37.2,37.2,39.6,25.6
20.4,46.4,46.4,26.0,18.8
66.4,98.0,98.0,36.4,30.0
