,0
0,-136
1,-113
2,-109
3,-166
4,-138
5,-125
6,-157
7,-118
8,-243
9,-130
10,-144
11,-165
12,-168
13,-373
14,-115
15,-196
16,-219
17,-150
18,-138
19,-129
20,-165
21,-848
22,-126
23,-190
24,-182
25,-304
26,-427
27,-219
28,-157
29,-166
30,-308
31,-364
32,-398
33,-163
34,-369
35,-207
36,-260
37,-138
38,-132
39,-365
40,-316
41,-341
42,-202
43,-118
44,-235
45,-555
46,-144
47,-269
48,-116
49,-296
50,-159
51,-172
52,-206
53,-194
54,-126
55,-146
56,-183
57,-195
58,-112
59,-146
60,-173
61,-161
62,-116
63,-167
64,-172
65,-92
66,-80
67,-119
68,-56
69,-104
70,-41
71,-109
72,-77
73,-116
74,-206
75,-149
76,-140
77,-117
78,-119
79,-196
80,-60
81,-47
82,-77
83,-134
84,-111
85,-138
86,-151
87,-114
88,-247
89,-303
90,-211
91,-202
92,-160
93,-298
94,-169
95,-181
96,-216
97,-183
98,-174
99,-178
100,-171
101,-214
102,-163
103,-110
104,-144
105,-240
106,-122
107,-173
108,-133
109,-134
110,-142
111,-164
112,-122
113,-264
114,-113
115,-168
116,-195
117,-121
118,-110
119,-204
120,-164
121,-99
122,-169
123,-164
124,-191
125,-161
126,-116
127,-162
128,-143
129,-124
130,-140
131,-91
132,-143
133,-101
134,-51
135,-159
136,-126
137,-121
138,-116
139,-116
140,-125
141,-98
142,-130
143,-82
144,-112
145,-148
146,-116
147,-74
148,-161
149,-124
150,-103
151,-120
152,-163
153,-102
154,-109
155,-172
156,-158
157,-77
158,-114
159,-155
160,-100
161,-136
162,-132
163,-152
164,-96
165,-91
166,-151
167,-120
168,-85
169,-135
170,-84
171,-88
172,-132
173,-99
174,-106
175,-154
176,-56
177,-50
178,-85
179,-83
180,-74
181,-123
182,-196
183,-67
184,-85
185,-116
186,-114
187,-147
188,-95
189,-71
190,-124
191,-160
192,-144
193,-115
194,-97
195,-116
196,-97
197,-81
198,-125
199,-136
200,-81
201,-70
202,-107
203,-104
204,-88
205,-92
206,-115
207,-58
208,-144
209,-79
210,-99
211,-73
212,-94
213,-98
214,-183
215,-79
216,-84
217,-86
218,-82
219,-75
220,-66
221,-87
222,-79
223,-81
224,-88
225,-47
226,-88
227,-63
228,-91
229,-86
230,-55
231,-116
232,-113
233,-59
234,-73
235,-95
236,-65
237,-79
238,-79
239,-58
240,-81
241,-75
242,-87
243,-86
244,-106
245,-56
246,-126
247,-86
248,-75
249,-50
