number of states,n of steps,alpha,n_episodes,sigma,RMSE
19,3,0.4,1,0,0.26146412151977094
19,3,0.4,2,0,0.24981680612215734
19,3,0.4,3,0,0.2390906867589877
19,3,0.4,4,0,0.22761925477225656
19,3,0.4,5,0,0.21685527249237416
19,3,0.4,6,0,0.20686843198896843
19,3,0.4,7,0,0.19649517876314274
19,3,0.4,8,0,0.18824579841869618
19,3,0.4,9,0,0.17907480781704424
19,3,0.4,10,0,0.1698409629510871
19,3,0.4,11,0,0.16243913220685344
19,3,0.4,12,0,0.15465329387422824
19,3,0.4,13,0,0.14614769358593693
19,3,0.4,14,0,0.1396778733660528
19,3,0.4,15,0,0.13242033689012978
19,3,0.4,16,0,0.1265142169832398
19,3,0.4,17,0,0.11993426190844429
19,3,0.4,18,0,0.1144936525734452
19,3,0.4,19,0,0.10935062272118681
19,3,0.4,20,0,0.10407042381203047
19,3,0.4,21,0,0.09948879910764646
19,3,0.4,22,0,0.09445095705187478
19,3,0.4,23,0,0.0900569221140839
19,3,0.4,24,0,0.08531724694614763
19,3,0.4,25,0,0.08123216236350371
19,3,0.4,26,0,0.07713060262914159
19,3,0.4,27,0,0.073520556647896
19,3,0.4,28,0,0.07016772056010927
19,3,0.4,29,0,0.06622688032296956
19,3,0.4,30,0,0.06358562659886138
19,3,0.4,31,0,0.06086079840110563
19,3,0.4,32,0,0.05848125334623812
19,3,0.4,33,0,0.055701188577774646
19,3,0.4,34,0,0.0529095621411239
19,3,0.4,35,0,0.050514756787439836
19,3,0.4,36,0,0.048285167172911765
19,3,0.4,37,0,0.045818867790450704
19,3,0.4,38,0,0.04376005968308863
19,3,0.4,39,0,0.041963061158643906
19,3,0.4,40,0,0.040287079678867424
19,3,0.4,41,0,0.03884044723623235
19,3,0.4,42,0,0.0371369962958984
19,3,0.4,43,0,0.035452171118993576
19,3,0.4,44,0,0.033918139002273834
19,3,0.4,45,0,0.03253896711220621
19,3,0.4,46,0,0.031297530744548316
19,3,0.4,47,0,0.030164244672953106
19,3,0.4,48,0,0.028852821212118657
19,3,0.4,49,0,0.02791279655830912
19,3,0.4,50,0,0.026784505652020882
19,3,0.4,51,0,0.025673161113216922
19,3,0.4,52,0,0.024664719217190954
19,3,0.4,53,0,0.023669930341273685
19,3,0.4,54,0,0.02255397764269699
19,3,0.4,55,0,0.021713396544006103
19,3,0.4,56,0,0.020917434620529408
19,3,0.4,57,0,0.020167255032801278
19,3,0.4,58,0,0.019390624005921578
19,3,0.4,59,0,0.018761696397843048
19,3,0.4,60,0,0.018047714102420686
