number of states,n of steps,alpha,n_episodes,sigma,RMSE
19,3,0.4,1,dynamic,0.2528781691270577
19,3,0.4,2,dynamic,0.23360209161998802
19,3,0.4,3,dynamic,0.21610064671145288
19,3,0.4,4,dynamic,0.20069748908121252
19,3,0.4,5,dynamic,0.1861444519146449
19,3,0.4,6,dynamic,0.17230205761987738
19,3,0.4,7,dynamic,0.1598615389851668
19,3,0.4,8,dynamic,0.1480441397726198
19,3,0.4,9,dynamic,0.13746613307466723
19,3,0.4,10,dynamic,0.12766491400835867
19,3,0.4,11,dynamic,0.1192110603887946
19,3,0.4,12,dynamic,0.11138995968965051
19,3,0.4,13,dynamic,0.10417114296407975
19,3,0.4,14,dynamic,0.09800052020161265
19,3,0.4,15,dynamic,0.09204547125802844
19,3,0.4,16,dynamic,0.08625833719956974
19,3,0.4,17,dynamic,0.08085530599805402
19,3,0.4,18,dynamic,0.07615075825811936
19,3,0.4,19,dynamic,0.07141855377394384
19,3,0.4,20,dynamic,0.06709762952013613
19,3,0.4,21,dynamic,0.0632179263013362
19,3,0.4,22,dynamic,0.05970002290615144
19,3,0.4,23,dynamic,0.05662663576841661
19,3,0.4,24,dynamic,0.05321244390993466
19,3,0.4,25,dynamic,0.050821778763602804
19,3,0.4,26,dynamic,0.04815973681525451
19,3,0.4,27,dynamic,0.046205517921898726
19,3,0.4,28,dynamic,0.043847426738102414
19,3,0.4,29,dynamic,0.04174760522328515
19,3,0.4,30,dynamic,0.03938623479511588
19,3,0.4,31,dynamic,0.037794564095184
19,3,0.4,32,dynamic,0.03617665649839524
19,3,0.4,33,dynamic,0.03473751900254252
19,3,0.4,34,dynamic,0.03349349552914969
19,3,0.4,35,dynamic,0.0317721459818539
19,3,0.4,36,dynamic,0.030452498870163172
19,3,0.4,37,dynamic,0.02924039958779182
19,3,0.4,38,dynamic,0.028006790943161605
19,3,0.4,39,dynamic,0.026868783164321397
19,3,0.4,40,dynamic,0.02554625631766703
19,3,0.4,41,dynamic,0.024672432843422992
19,3,0.4,42,dynamic,0.0236984219349525
19,3,0.4,43,dynamic,0.022924398528086854
19,3,0.4,44,dynamic,0.022001202677982033
19,3,0.4,45,dynamic,0.0211676956994808
19,3,0.4,46,dynamic,0.020497711470898454
19,3,0.4,47,dynamic,0.020036077377538236
19,3,0.4,48,dynamic,0.019269886754115523
19,3,0.4,49,dynamic,0.018408475524937084
19,3,0.4,50,dynamic,0.017869717527639006
19,3,0.4,51,dynamic,0.01741349873844797
19,3,0.4,52,dynamic,0.016864017185587436
19,3,0.4,53,dynamic,0.016537957688772226
19,3,0.4,54,dynamic,0.016077621775375518
19,3,0.4,55,dynamic,0.0155953649434948
19,3,0.4,56,dynamic,0.015201489164034269
19,3,0.4,57,dynamic,0.014706983983027468
19,3,0.4,58,dynamic,0.014347148455623373
19,3,0.4,59,dynamic,0.013919199019052838
19,3,0.4,60,dynamic,0.013572018447640126
19,3,0.4,61,dynamic,0.013261639924672459
19,3,0.4,62,dynamic,0.012924216889257142
19,3,0.4,63,dynamic,0.01259897201310253
19,3,0.4,64,dynamic,0.01235587952923305
19,3,0.4,65,dynamic,0.012071946979891356
19,3,0.4,66,dynamic,0.01168734626098177
19,3,0.4,67,dynamic,0.011397487139035777
19,3,0.4,68,dynamic,0.01117440252294565
19,3,0.4,69,dynamic,0.010925149286663282
19,3,0.4,70,dynamic,0.010609665758936787
19,3,0.4,71,dynamic,0.010283282731548622
19,3,0.4,72,dynamic,0.010037512625052793
19,3,0.4,73,dynamic,0.009867580936138234
19,3,0.4,74,dynamic,0.009629851168184768
19,3,0.4,75,dynamic,0.009353367444858
19,3,0.4,76,dynamic,0.00915639778424847
19,3,0.4,77,dynamic,0.00901674779156064
19,3,0.4,78,dynamic,0.008737699662332095
19,3,0.4,79,dynamic,0.008533421962678698
19,3,0.4,80,dynamic,0.00831390038583553
19,3,0.4,81,dynamic,0.008104123260070338
19,3,0.4,82,dynamic,0.007914560139460998
19,3,0.4,83,dynamic,0.007725976485396813
19,3,0.4,84,dynamic,0.007556885438323734
19,3,0.4,85,dynamic,0.007374710441861875
19,3,0.4,86,dynamic,0.007200651141841708
19,3,0.4,87,dynamic,0.006991157508156962
19,3,0.4,88,dynamic,0.0068411647063310235
19,3,0.4,89,dynamic,0.006674155143996762
19,3,0.4,90,dynamic,0.006537189558112695
19,3,0.4,91,dynamic,0.006399868951427273
19,3,0.4,92,dynamic,0.006271426072572373
19,3,0.4,93,dynamic,0.006110779744922917
19,3,0.4,94,dynamic,0.0059664466507200085
19,3,0.4,95,dynamic,0.005819565591316
19,3,0.4,96,dynamic,0.005670319134311531
19,3,0.4,97,dynamic,0.00552734290768514
19,3,0.4,98,dynamic,0.00543073126002791
19,3,0.4,99,dynamic,0.005321216437213464
19,3,0.4,100,dynamic,0.005204357673053528
