,0
0,-139
1,-105
2,-116
3,-119
4,-130
5,-207
6,-132
7,-195
8,-155
9,-241
10,-112
11,-112
12,-272
13,-158
14,-194
15,-296
16,-168
17,-113
18,-186
19,-246
20,-608
21,-530
22,-115
23,-498
24,-206
25,-352
26,-119
27,-242
28,-426
29,-264
30,-148
31,-150
32,-419
33,-302
34,-411
35,-63
36,-166
37,-265
38,-125
39,-148
40,-188
41,-263
42,-256
43,-131
44,-136
45,-210
46,-157
47,-103
48,-147
49,-178
50,-256
51,-111
52,-146
53,-353
54,-213
55,-329
56,-95
57,-170
58,-89
59,-240
60,-105
61,-205
62,-207
63,-74
64,-142
65,-202
66,-44
67,-262
68,-179
69,-205
70,-101
71,-302
72,-129
73,-93
74,-125
75,-269
76,-165
77,-117
78,-109
79,-112
80,-130
81,-145
82,-171
83,-270
84,-70
85,-208
86,-140
87,-70
88,-191
89,-121
90,-135
91,-195
92,-147
93,-205
94,-140
95,-150
96,-71
97,-89
98,-198
99,-154
100,-151
101,-162
102,-192
103,-149
104,-143
105,-48
106,-131
107,-150
108,-139
109,-153
110,-62
111,-215
112,-118
113,-83
114,-151
115,-110
116,-187
117,-109
118,-149
119,-42
120,-100
121,-157
122,-113
123,-101
124,-161
125,-49
126,-116
127,-200
128,-114
129,-149
130,-111
131,-118
132,-115
133,-125
134,-151
135,-145
136,-116
137,-38
138,-121
139,-158
140,-107
141,-111
142,-140
143,-116
144,-115
145,-90
146,-103
147,-44
148,-141
149,-88
150,-129
151,-132
152,-49
153,-96
154,-152
155,-83
156,-169
157,-37
158,-67
159,-153
160,-91
161,-114
162,-126
163,-118
164,-115
165,-95
166,-117
167,-111
168,-102
169,-125
170,-40
171,-99
172,-126
173,-86
174,-79
175,-51
176,-128
177,-112
178,-132
179,-70
180,-111
181,-117
182,-60
183,-119
184,-100
185,-116
186,-46
187,-104
188,-116
189,-102
190,-109
191,-121
192,-124
193,-145
194,-88
195,-108
196,-101
197,-114
198,-57
199,-70
200,-41
201,-94
202,-80
203,-110
204,-121
205,-126
206,-120
207,-111
208,-118
209,-88
210,-71
211,-81
212,-75
213,-51
214,-78
215,-83
216,-132
217,-90
218,-67
219,-39
220,-77
221,-77
222,-110
223,-77
224,-73
225,-76
226,-65
227,-61
228,-127
229,-95
230,-79
231,-58
232,-98
233,-96
234,-76
235,-74
236,-117
237,-77
238,-62
239,-80
240,-70
241,-66
242,-131
243,-76
244,-97
245,-56
246,-53
247,-138
248,-25
249,-79
250,-67
251,-75
252,-47
253,-135
254,-54
255,-57
256,-91
257,-87
258,-62
259,-110
260,-65
261,-124
262,-128
263,-58
264,-54
265,-31
266,-80
267,-57
268,-68
269,-50
270,-77
271,-125
272,-109
273,-74
274,-65
275,-65
276,-40
277,-113
278,-61
279,-55
280,-57
281,-48
282,-53
283,-56
284,-67
285,-74
286,-68
287,-115
288,-52
289,-49
290,-64
291,-59
292,-56
293,-78
294,-78
295,-121
296,-42
297,-74
298,-82
299,-52
300,-49
301,-65
302,-67
303,-53
304,-39
305,-55
306,-79
307,-55
308,-49
309,-115
310,-69
311,-39
312,-92
313,-57
314,-51
315,-21
316,-135
317,-58
318,-45
319,-57
320,-54
321,-44
322,-49
323,-33
324,-64
325,-52
326,-55
327,-103
328,-48
329,-54
330,-55
331,-48
332,-76
333,-50
334,-55
335,-51
336,-64
337,-58
338,-46
339,-33
340,-38
341,-47
342,-62
343,-43
344,-47
345,-93
346,-105
347,-65
348,-53
349,-35
350,-40
351,-58
352,-52
353,-33
354,-64
355,-42
356,-80
357,-38
358,-52
359,-35
360,-105
361,-52
362,-70
363,-46
364,-49
365,-56
366,-43
367,-39
368,-39
369,-50
370,-39
371,-55
372,-103
373,-47
374,-45
375,-61
376,-52
377,-67
378,-33
379,-45
380,-42
381,-119
382,-37
383,-35
384,-49
385,-35
386,-51
387,-50
388,-41
389,-47
390,-37
391,-30
392,-37
393,-36
394,-129
395,-52
396,-35
397,-45
398,-51
399,-53
400,-54
401,-37
402,-48
403,-47
404,-29
405,-37
406,-43
407,-58
408,-49
409,-31
410,-50
411,-43
412,-31
413,-41
414,-51
415,-35
416,-50
417,-53
418,-41
419,-49
420,-39
421,-40
422,-48
423,-26
424,-41
425,-46
426,-51
427,-34
428,-39
429,-37
430,-118
431,-37
432,-40
433,-58
434,-43
435,-44
436,-38
437,-36
438,-49
439,-47
440,-40
441,-34
442,-43
443,-37
444,-34
445,-35
446,-42
447,-43
448,-36
449,-119
450,-57
451,-41
452,-47
453,-43
454,-36
455,-34
456,-38
457,-32
458,-40
459,-55
460,-37
461,-109
462,-44
463,-33
464,-37
465,-29
466,-49
467,-35
468,-34
469,-54
470,-46
471,-32
472,-34
473,-36
474,-106
475,-31
476,-45
477,-41
478,-32
479,-40
480,-31
481,-39
482,-36
483,-29
484,-55
485,-43
486,-55
487,-36
488,-29
489,-43
490,-38
491,-32
492,-37
493,-39
494,-49
495,-48
496,-112
497,-31
498,-40
499,-34
500,-27
501,-34
502,-48
503,-40
504,-37
505,-31
506,-35
507,-43
508,-39
509,-40
510,-34
511,-38
512,-41
513,-29
514,-35
515,-31
516,-116
517,-52
518,-48
519,-40
520,-36
521,-37
522,-49
523,-49
524,-29
525,-45
526,-38
527,-32
528,-31
529,-34
530,-42
531,-33
532,-28
533,-33
534,-36
535,-43
536,-38
537,-33
538,-32
539,-32
540,-39
541,-31
542,-34
543,-28
544,-33
545,-39
546,-35
547,-35
548,-47
549,-35
550,-31
551,-32
552,-50
553,-38
554,-34
555,-33
556,-42
557,-44
558,-31
559,-36
560,-33
561,-28
562,-24
563,-40
564,-57
565,-29
566,-31
567,-38
568,-44
569,-29
570,-33
571,-33
572,-29
573,-37
574,-29
575,-29
576,-107
577,-35
578,-29
579,-38
580,-27
581,-47
582,-37
583,-32
584,-33
585,-33
586,-32
587,-31
588,-37
589,-36
590,-33
591,-44
592,-31
593,-32
594,-31
595,-35
596,-29
597,-41
598,-41
599,-42
600,-37
601,-31
602,-37
603,-34
604,-37
605,-37
606,-29
607,-32
608,-27
609,-28
610,-33
611,-28
612,-35
613,-31
614,-31
615,-31
616,-29
617,-35
618,-33
619,-34
620,-34
621,-31
622,-37
623,-35
624,-35
625,-32
626,-28
627,-29
628,-35
629,-42
630,-30
631,-35
632,-34
633,-33
634,-34
635,-21
636,-36
637,-29
638,-45
639,-33
640,-41
641,-28
642,-40
643,-30
644,-38
645,-30
646,-39
647,-29
648,-27
649,-31
650,-33
651,-31
652,-36
653,-41
654,-31
655,-33
656,-32
657,-35
658,-31
659,-32
660,-37
661,-30
662,-43
663,-29
664,-29
665,-27
666,-29
667,-32
668,-37
669,-36
670,-29
671,-31
672,-36
673,-34
674,-31
675,-27
676,-36
677,-39
678,-31
679,-30
680,-34
681,-42
682,-48
683,-33
684,-32
685,-41
686,-33
687,-40
688,-31
689,-32
690,-32
691,-29
692,-27
693,-32
694,-32
695,-30
696,-40
697,-33
698,-114
699,-32
700,-33
701,-29
702,-30
703,-42
704,-32
705,-27
706,-33
707,-29
708,-31
709,-41
710,-29
711,-30
712,-35
713,-37
714,-33
715,-27
716,-27
717,-31
718,-30
719,-35
720,-31
721,-29
722,-110
723,-29
724,-29
725,-33
726,-33
727,-42
728,-38
729,-35
730,-36
731,-37
732,-29
733,-34
734,-33
735,-33
736,-29
737,-38
738,-29
739,-31
740,-32
741,-32
742,-33
743,-28
744,-33
745,-33
746,-27
747,-29
748,-42
749,-27
750,-29
751,-32
752,-32
753,-29
754,-31
755,-31
756,-30
757,-33
758,-27
759,-31
760,-31
761,-31
762,-31
763,-34
764,-37
765,-29
766,-33
767,-30
768,-41
769,-36
770,-35
771,-27
772,-31
773,-30
774,-29
775,-31
776,-31
777,-31
778,-39
779,-33
780,-32
781,-33
782,-27
783,-32
784,-27
785,-39
786,-27
787,-27
788,-108
789,-36
790,-29
791,-29
792,-39
793,-29
794,-30
795,-36
796,-37
797,-34
798,-27
799,-29
800,-28
801,-28
802,-32
803,-27
804,-32
805,-28
806,-27
807,-29
808,-34
809,-33
810,-27
811,-33
812,-37
813,-38
814,-31
815,-32
816,-31
817,-29
818,-31
819,-27
820,-29
821,-28
822,-29
823,-29
824,-35
825,-31
826,-29
827,-29
828,-31
829,-29
830,-34
831,-28
832,-32
833,-32
834,-40
835,-30
836,-29
837,-36
838,-27
839,-29
840,-33
841,-29
842,-27
843,-37
844,-33
845,-31
846,-32
847,-32
848,-27
849,-37
850,-33
851,-29
852,-27
853,-28
854,-29
855,-36
856,-29
857,-32
858,-32
859,-28
860,-32
861,-30
862,-43
863,-39
864,-29
865,-27
866,-34
867,-35
868,-30
869,-29
870,-27
871,-33
872,-29
873,-29
874,-27
875,-27
876,-29
877,-32
878,-29
879,-30
880,-30
881,-33
882,-29
883,-29
884,-29
885,-27
886,-38
887,-27
888,-34
889,-29
890,-33
891,-33
892,-109
893,-29
894,-28
895,-32
896,-28
897,-29
898,-32
899,-31
900,-27
901,-28
902,-30
903,-29
904,-33
905,-35
906,-34
907,-29
908,-33
909,-31
910,-27
911,-27
912,-39
913,-27
914,-29
915,-29
916,-29
917,-31
918,-29
919,-28
920,-28
921,-33
922,-31
923,-32
924,-33
925,-31
926,-31
927,-35
928,-34
929,-31
930,-31
931,-32
932,-29
933,-31
934,-35
935,-35
936,-32
937,-33
938,-28
939,-30
940,-28
941,-27
942,-35
943,-30
944,-29
945,-31
946,-31
947,-35
948,-27
949,-30
950,-29
951,-37
952,-29
953,-30
954,-35
955,-32
956,-31
957,-20
958,-37
959,-27
960,-29
961,-31
962,-29
963,-27
964,-28
965,-28
966,-27
967,-30
968,-29
969,-27
970,-34
971,-27
972,-28
973,-29
974,-31
975,-33
976,-31
977,-35
978,-29
979,-29
980,-27
981,-30
982,-39
983,-39
984,-28
985,-35
986,-29
987,-33
988,-33
989,-34
990,-27
991,-35
992,-30
993,-36
994,-30
995,-33
996,-33
997,-35
998,-30
999,-33
1000,-30
1001,-27
1002,-30
1003,-30
1004,-27
1005,-33
1006,-32
1007,-30
1008,-28
1009,-30
1010,-35
1011,-43
1012,-32
1013,-28
1014,-30
1015,-29
1016,-31
1017,-31
1018,-33
1019,-32
1020,-27
1021,-29
1022,-29
1023,-30
1024,-33
1025,-27
1026,-28
1027,-36
1028,-31
1029,-30
1030,-36
1031,-29
1032,-29
1033,-29
1034,-31
1035,-32
1036,-30
1037,-31
1038,-29
1039,-33
1040,-33
1041,-27
1042,-36
1043,-30
1044,-32
1045,-33
1046,-31
1047,-31
1048,-29
1049,-30
1050,-27
1051,-34
1052,-29
1053,-29
1054,-32
1055,-27
1056,-28
1057,-28
1058,-30
1059,-27
1060,-34
1061,-33
1062,-37
1063,-41
1064,-29
1065,-37
1066,-35
1067,-29
1068,-30
1069,-31
1070,-32
1071,-33
1072,-27
1073,-29
1074,-31
1075,-31
1076,-27
1077,-29
1078,-33
1079,-33
1080,-29
1081,-33
1082,-27
1083,-33
1084,-29
1085,-37
1086,-35
1087,-27
1088,-32
1089,-27
1090,-29
1091,-34
