"('greedy_selection', 'moment_updating')","('q_value_sampling', 'moment_updating')"
-66.66666666666667,-80.0
-67.66666666666667,-72.0
-38.0,-78.0
-59.0,-68.0
-33.666666666666664,-60.333333333333336
-59.0,-66.0
-59.0,-59.0
-59.0,-50.333333333333336
-59.0,-39.666666666666664
-59.0,-52.0
-59.0,-52.0
-59.0,-66.0
-59.0,-53.666666666666664
-59.0,-45.666666666666664
-59.0,-33.333333333333336
-59.0,-41.666666666666664
-59.0,-52.0
-59.0,-52.0
-59.0,-45.0
-59.0,-21.666666666666668
-59.0,-29.666666666666668
-59.0,-43.666666666666664
-59.0,-73.0
-59.0,-52.0
-52.0,-31.666666666666668
-37.333333333333336,-52.0
-52.0,-37.666666666666664
-52.0,-29.666666666666668
-52.0,-45.0
-52.0,-38.0
-52.0,-33.0
-52.0,-27.333333333333332
-52.0,-52.0
-59.0,-23.666666666666668
-52.0,-55.666666666666664
-52.0,-37.0
-52.0,-52.0
-52.0,-34.333333333333336
-52.0,-23.666666666666668
-52.0,-52.0
-52.0,-28.666666666666668
-52.0,-32.333333333333336
-52.0,-45.0
-52.0,-29.666666666666668
-52.0,-45.0
-52.0,-46.333333333333336
-52.0,-15.666666666666666
-52.0,-38.0
-52.0,-31.666666666666668
-52.0,-38.0
-52.0,-38.0
-52.0,-38.0
-52.0,-22.0
-52.0,-38.0
-52.0,-38.0
-52.0,-38.0
-52.0,-38.0
-52.0,-18.666666666666668
-52.0,-31.666666666666668
-52.0,-39.333333333333336
-52.0,-5.0
-52.0,-38.0
-52.0,-36.0
-52.0,-45.0
-52.0,-30.666666666666668
-52.0,-33.0
-52.0,-43.0
-52.0,-18.333333333333332
-52.0,-13.333333333333334
-52.0,-26.666666666666668
-52.0,-18.0
-52.0,-38.0
-52.0,-20.333333333333332
-52.0,-22.333333333333332
-52.0,-19.333333333333332
-52.0,-29.0
-52.0,-22.666666666666668
-52.0,-24.0
-52.0,-30.333333333333332
-52.0,-17.0
-52.0,-36.666666666666664
-52.0,-10.333333333333334
-52.0,-24.333333333333332
-52.0,-14.333333333333334
-52.0,-12.333333333333334
-52.0,-17.666666666666668
-52.0,-31.333333333333332
-52.0,0.0
-52.0,-23.666666666666668
-52.0,-20.666666666666668
-52.0,-12.333333333333334
-52.0,-38.0
-52.0,-3.0
-52.0,-28.0
-52.0,-11.0
-52.0,-31.0
-52.0,-28.0
-52.0,-14.333333333333334
-52.0,-4.333333333333333
-52.0,-19.0
-52.0,-7.0
-52.0,-24.0
-52.0,-24.0
-52.0,-19.333333333333332
-52.0,-28.0
-52.0,-14.666666666666666
-52.0,-23.0
-52.0,-2.6666666666666665
-52.0,7.0
-52.0,0.0
-52.0,-2.6666666666666665
-52.0,-23.333333333333332
-52.0,-9.666666666666666
-52.0,-11.666666666666666
-52.0,-3.6666666666666665
-52.0,-25.0
-52.0,-9.0
-52.0,-11.0
-52.0,-0.3333333333333333
-52.0,-20.0
-52.0,-9.666666666666666
-52.0,-13.333333333333334
-52.0,-14.0
-52.0,-6.666666666666667
-52.0,-4.0
-52.0,-19.0
-52.0,2.0
-52.0,-15.333333333333334
-52.0,-15.0
-52.0,-24.333333333333332
-52.0,-25.0
-52.0,-5.0
-52.0,-2.0
-52.0,8.333333333333334
-52.0,5.333333333333333
-52.0,-10.333333333333334
-52.0,1.3333333333333333
-52.0,0.0
-52.0,6.666666666666667
-52.0,-2.6666666666666665
-52.0,-5.666666666666667
-52.0,-5.333333333333333
-52.0,-7.666666666666667
-52.0,-14.333333333333334
-52.0,14.0
-52.0,5.333333333333333
-52.0,-15.0
-52.0,12.0
-52.0,-20.333333333333332
-52.0,0.0
-52.0,-17.0
-52.0,-12.0
-52.0,13.0
-52.0,-5.333333333333333
-52.0,-12.0
-52.0,13.333333333333334
-52.0,12.666666666666666
-52.0,4.0
-52.0,3.6666666666666665
-52.0,5.333333333333333
-52.0,18.333333333333332
-52.0,-2.3333333333333335
-52.0,-3.3333333333333335
-52.0,4.0
-52.0,-4.333333333333333
-52.0,0.3333333333333333
-52.0,6.0
-52.0,0.6666666666666666
-52.0,4.666666666666667
-52.0,9.666666666666666
-52.0,5.0
-52.0,8.333333333333334
-52.0,-6.333333333333333
-52.0,8.666666666666666
-52.0,5.0
-52.0,-5.666666666666667
-52.0,14.333333333333334
-52.0,-1.3333333333333333
-52.0,7.333333333333333
-52.0,8.666666666666666
-52.0,10.666666666666666
-52.0,14.666666666666666
-52.0,9.333333333333334
-52.0,5.0
-52.0,16.333333333333332
-52.0,12.333333333333334
-52.0,-18.666666666666668
-52.0,-26.0
-52.0,2.0
-52.0,5.333333333333333
-52.0,-14.0
-52.0,2.6666666666666665
-52.0,11.333333333333334
-52.0,4.666666666666667
-52.0,15.333333333333334
-52.0,17.0
-52.0,-7.0
-52.0,0.6666666666666666
-52.0,6.333333333333333
-52.0,12.666666666666666
-52.0,10.666666666666666
-59.0,7.666666666666667
-59.0,11.666666666666666
-59.0,5.0
-66.0,9.333333333333334
-66.0,7.0
-66.0,14.0
-59.0,-2.6666666666666665
-66.0,13.0
-59.0,15.0
-66.0,2.6666666666666665
-66.0,8.0
-66.0,6.333333333333333
-59.0,6.333333333333333
-66.0,-9.0
-59.0,15.333333333333334
-66.0,4.666666666666667
-66.0,13.666666666666666
-59.0,-4.0
-66.0,12.333333333333334
-66.0,10.0
-59.0,8.666666666666666
-66.0,16.0
-66.0,14.666666666666666
-66.0,-4.0
-66.0,2.0
-66.0,11.333333333333334
-66.0,10.333333333333334
-66.0,20.666666666666668
-66.0,-7.666666666666667
-59.0,11.666666666666666
-66.0,-12.666666666666666
-66.0,7.666666666666667
-59.0,17.0
-59.0,12.333333333333334
-66.0,6.666666666666667
-66.0,6.666666666666667
-59.0,10.0
-59.0,21.333333333333332
-66.0,13.666666666666666
-59.0,-1.0
-59.0,14.333333333333334
-66.0,19.333333333333332
-59.0,2.0
-59.0,20.0
-66.0,2.3333333333333335
-59.0,9.666666666666666
-59.0,11.333333333333334
-66.0,8.333333333333334
-59.0,2.6666666666666665
-59.0,7.0
-66.0,16.666666666666668
-59.0,14.333333333333334
-59.0,1.6666666666666667
-66.0,11.333333333333334
-52.0,10.0
-66.0,19.666666666666668
-66.0,11.333333333333334
-52.0,10.333333333333334
-66.0,4.333333333333333
-52.0,6.333333333333333
-66.0,11.666666666666666
-59.0,6.666666666666667
