"('greedy_selection', 'moment_updating')","('q_value_sampling', 'moment_updating')"
-50.0,-101.0
-39.0,-101.0
-80.0,-101.0
-59.0,-101.0
-3.0,-101.0
-59.0,-101.0
-5.0,-101.0
-38.0,-101.0
-38.0,-101.0
-21.0,-101.0
-38.0,-101.0
0.0,-101.0
-59.0,-101.0
-59.0,-101.0
4.0,-101.0
3.0,-101.0
-59.0,-101.0
7.0,-101.0
-38.0,-101.0
7.0,-101.0
-38.0,-101.0
-38.0,-101.0
-38.0,-101.0
-38.0,-101.0
-2.0,-101.0
-38.0,-101.0
16.0,-101.0
18.0,-101.0
-16.0,-101.0
16.0,-101.0
-38.0,-101.0
-4.0,-101.0
-38.0,-101.0
2.0,-101.0
-32.0,-101.0
29.0,-101.0
4.0,-101.0
-38.0,-101.0
16.0,-101.0
1.0,-101.0
-5.0,-101.0
21.0,-101.0
1.0,-101.0
-5.0,-101.0
33.0,-101.0
-33.0,-101.0
23.0,-101.0
6.0,-101.0
-19.0,-101.0
26.0,-101.0
12.0,-101.0
12.0,-101.0
-34.0,-101.0
17.0,-101.0
-18.0,-101.0
31.0,-101.0
28.0,-101.0
-10.0,-101.0
17.0,-101.0
23.0,-101.0
26.0,-101.0
-7.0,-101.0
-25.0,-101.0
23.0,-101.0
32.0,-101.0
7.0,-101.0
23.0,-101.0
33.0,-101.0
15.0,-101.0
17.0,-101.0
6.0,-101.0
-20.0,-101.0
34.0,-101.0
18.0,-101.0
8.0,-101.0
27.0,-101.0
25.0,-101.0
29.0,-101.0
32.0,-101.0
-21.0,-101.0
33.0,-101.0
31.0,-101.0
-36.0,-101.0
23.0,-101.0
11.0,-101.0
30.0,-101.0
31.0,-101.0
-5.0,-101.0
33.0,-101.0
28.0,-101.0
-14.0,-101.0
31.0,-101.0
25.0,-101.0
34.0,-101.0
1.0,-101.0
31.0,-101.0
30.0,-101.0
-1.0,-101.0
25.0,-101.0
-3.0,-101.0
15.0,-101.0
26.0,-101.0
31.0,-101.0
30.0,-101.0
24.0,-101.0
28.0,-101.0
15.0,-101.0
-31.0,-101.0
30.0,-101.0
28.0,-101.0
31.0,-101.0
32.0,-101.0
8.0,-101.0
30.0,-101.0
27.0,-101.0
0.0,-101.0
23.0,-101.0
0.0,-101.0
32.0,-101.0
28.0,-101.0
27.0,-101.0
9.0,-101.0
14.0,-101.0
-29.0,-101.0
30.0,-101.0
34.0,-101.0
30.0,-101.0
18.0,-101.0
34.0,-101.0
27.0,-101.0
33.0,-101.0
31.0,-101.0
9.0,-101.0
30.0,-101.0
-17.0,-101.0
27.0,-101.0
21.0,-101.0
22.0,-101.0
32.0,-101.0
36.0,-101.0
0.0,-101.0
35.0,-101.0
30.0,-101.0
33.0,-101.0
21.0,-101.0
6.0,-101.0
32.0,-101.0
-2.0,-101.0
22.0,-101.0
28.0,-101.0
36.0,-101.0
-1.0,-101.0
30.0,-101.0
34.0,-101.0
22.0,-101.0
31.0,-101.0
36.0,-101.0
35.0,-101.0
25.0,-101.0
33.0,-101.0
-20.0,-101.0
4.0,-101.0
31.0,-101.0
31.0,-101.0
31.0,-101.0
31.0,-101.0
24.0,-101.0
17.0,-101.0
30.0,-101.0
28.0,-101.0
-38.0,-101.0
33.0,-101.0
32.0,-101.0
28.0,-101.0
36.0,-101.0
28.0,-101.0
36.0,-101.0
21.0,-101.0
30.0,-101.0
36.0,-101.0
28.0,-101.0
21.0,-101.0
36.0,-101.0
29.0,-101.0
31.0,-101.0
30.0,-101.0
33.0,-101.0
26.0,-101.0
12.0,-101.0
33.0,-101.0
28.0,-101.0
13.0,-101.0
8.0,-101.0
32.0,-101.0
26.0,-101.0
34.0,-101.0
31.0,-101.0
36.0,-101.0
-19.0,-101.0
31.0,-101.0
35.0,-101.0
24.0,-101.0
32.0,-101.0
28.0,-101.0
30.0,-101.0
31.0,-101.0
-2.0,-101.0
35.0,-101.0
27.0,-101.0
31.0,-101.0
11.0,-101.0
35.0,-101.0
35.0,-101.0
-14.0,-101.0
30.0,-101.0
35.0,-101.0
6.0,-101.0
36.0,-101.0
33.0,-101.0
32.0,-101.0
13.0,-101.0
32.0,-101.0
31.0,-101.0
11.0,-101.0
30.0,-101.0
19.0,-101.0
33.0,-101.0
23.0,-101.0
-6.0,-101.0
33.0,-101.0
30.0,-101.0
19.0,-101.0
35.0,-101.0
29.0,-101.0
35.0,-101.0
27.0,-101.0
29.0,-101.0
34.0,-101.0
26.0,-101.0
36.0,-101.0
30.0,-101.0
12.0,-101.0
36.0,-101.0
23.0,-101.0
29.0,-101.0
33.0,-101.0
26.0,-101.0
34.0,-101.0
24.0,-101.0
31.0,-101.0
-38.0,-101.0
35.0,-101.0
32.0,-101.0
32.0,-101.0
28.0,-101.0
36.0,-101.0
31.0,-101.0
34.0,-101.0
11.0,-101.0
35.0,-101.0
35.0,-101.0
33.0,-101.0
22.0,-101.0
35.0,-101.0
29.0,-101.0
17.0,-101.0
33.0,-101.0
34.0,-101.0
35.0,-101.0
25.0,-101.0
30.0,-101.0
29.0,-101.0
35.0,-101.0
7.0,-101.0
32.0,-101.0
33.0,-101.0
31.0,-101.0
33.0,-101.0
30.0,-101.0
18.0,-101.0
28.0,-101.0
34.0,-101.0
31.0,-101.0
35.0,-101.0
32.0,-101.0
-3.0,-101.0
29.0,-101.0
9.0,-101.0
30.0,-101.0
30.0,-101.0
17.0,-101.0
32.0,-101.0
32.0,-101.0
36.0,-101.0
1.0,-101.0
27.0,-101.0
35.0,-101.0
33.0,-101.0
31.0,-101.0
30.0,-101.0
35.0,-101.0
17.0,-101.0
28.0,-101.0
33.0,-101.0
33.0,-101.0
34.0,-101.0
25.0,-101.0
34.0,-101.0
31.0,-101.0
35.0,-101.0
36.0,-101.0
-22.0,-101.0
33.0,-101.0
30.0,-101.0
34.0,-101.0
33.0,-101.0
32.0,-101.0
22.0,-101.0
36.0,-101.0
30.0,-101.0
32.0,-101.0
33.0,-101.0
23.0,-101.0
27.0,-101.0
-4.0,-101.0
36.0,-101.0
31.0,-101.0
35.0,-101.0
30.0,-101.0
30.0,-101.0
29.0,-101.0
34.0,-101.0
33.0,-101.0
26.0,-101.0
33.0,-101.0
36.0,-101.0
27.0,-101.0
23.0,-101.0
33.0,-101.0
34.0,-101.0
30.0,-101.0
36.0,-101.0
-2.0,-101.0
30.0,-101.0
35.0,-101.0
5.0,-101.0
25.0,-101.0
32.0,-101.0
36.0,-101.0
30.0,-101.0
29.0,-101.0
35.0,-101.0
34.0,-101.0
6.0,-101.0
31.0,-101.0
34.0,-101.0
21.0,-101.0
34.0,-101.0
31.0,-101.0
36.0,-101.0
29.0,-101.0
35.0,-101.0
30.0,-101.0
32.0,-101.0
30.0,-101.0
33.0,-101.0
0.0,-101.0
33.0,-101.0
31.0,-101.0
36.0,-101.0
27.0,-101.0
33.0,-101.0
6.0,-101.0
35.0,-101.0
35.0,-101.0
29.0,-101.0
32.0,-101.0
32.0,-101.0
35.0,-101.0
34.0,-101.0
34.0,-101.0
28.0,-101.0
18.0,-101.0
35.0,-101.0
34.0,-101.0
31.0,-101.0
31.0,-101.0
34.0,-101.0
-2.0,-101.0
36.0,-101.0
34.0,-101.0
22.0,-101.0
34.0,-101.0
33.0,-101.0
8.0,-101.0
35.0,-101.0
29.0,-101.0
33.0,-101.0
32.0,-101.0
34.0,-101.0
35.0,-101.0
32.0,-101.0
36.0,-101.0
28.0,-101.0
33.0,-101.0
35.0,-101.0
13.0,-101.0
-11.0,-101.0
35.0,-101.0
31.0,-101.0
29.0,-101.0
36.0,-101.0
33.0,-101.0
20.0,-101.0
31.0,-101.0
33.0,-101.0
35.0,-101.0
27.0,-101.0
32.0,-101.0
31.0,-101.0
33.0,-101.0
31.0,-101.0
31.0,-101.0
32.0,-101.0
36.0,-101.0
32.0,-101.0
6.0,-101.0
34.0,-101.0
36.0,-101.0
35.0,-101.0
29.0,-101.0
35.0,-101.0
28.0,-101.0
34.0,-101.0
26.0,-101.0
35.0,-101.0
33.0,-101.0
5.0,-101.0
34.0,-101.0
31.0,-101.0
33.0,-101.0
28.0,-101.0
10.0,-101.0
33.0,-101.0
36.0,-101.0
34.0,-101.0
25.0,-101.0
32.0,-101.0
36.0,-101.0
34.0,-101.0
33.0,-101.0
33.0,-101.0
33.0,-101.0
26.0,-101.0
35.0,-101.0
29.0,-101.0
29.0,-101.0
6.0,-101.0
35.0,-101.0
33.0,-101.0
35.0,-101.0
34.0,-101.0
32.0,-101.0
32.0,-101.0
24.0,-101.0
35.0,-101.0
12.0,-101.0
35.0,-101.0
36.0,-101.0
33.0,-101.0
28.0,-101.0
31.0,-101.0
22.0,-101.0
32.0,-101.0
35.0,-101.0
36.0,-101.0
23.0,-101.0
36.0,-101.0
35.0,-101.0
30.0,-101.0
3.0,-101.0
35.0,-101.0
30.0,-101.0
33.0,-101.0
35.0,-101.0
33.0,-101.0
32.0,-101.0
36.0,-101.0
8.0,-101.0
30.0,-101.0
36.0,-101.0
33.0,-101.0
33.0,-101.0
30.0,-101.0
31.0,-101.0
26.0,-101.0
31.0,-101.0
35.0,-101.0
35.0,-101.0
31.0,-101.0
36.0,-101.0
31.0,-101.0
14.0,-101.0
35.0,-101.0
30.0,-101.0
35.0,-101.0
26.0,-101.0
22.0,-101.0
33.0,-101.0
31.0,-101.0
36.0,-101.0
31.0,-101.0
34.0,-101.0
34.0,-101.0
31.0,-101.0
35.0,-101.0
30.0,-101.0
34.0,-101.0
31.0,-101.0
35.0,-101.0
20.0,-101.0
20.0,-101.0
34.0,-101.0
31.0,-101.0
31.0,-101.0
33.0,-101.0
32.0,-101.0
36.0,-101.0
29.0,-101.0
-7.0,-101.0
34.0,-101.0
33.0,-101.0
31.0,-101.0
36.0,-101.0
35.0,-101.0
27.0,-101.0
32.0,-101.0
32.0,-101.0
35.0,-101.0
14.0,-101.0
35.0,-101.0
34.0,-101.0
31.0,-101.0
30.0,-101.0
30.0,-101.0
34.0,-101.0
36.0,-101.0
35.0,-101.0
32.0,-101.0
31.0,-101.0
34.0,-101.0
14.0,-101.0
5.0,-101.0
36.0,-101.0
33.0,-101.0
31.0,-101.0
35.0,-101.0
35.0,-101.0
27.0,-101.0
32.0,-101.0
29.0,-101.0
35.0,-101.0
36.0,-101.0
34.0,-101.0
32.0,-101.0
34.0,-101.0
36.0,-101.0
27.0,-101.0
36.0,-101.0
35.0,-101.0
29.0,-101.0
36.0,-101.0
34.0,-101.0
30.0,-101.0
31.0,-101.0
33.0,-101.0
35.0,-101.0
33.0,-101.0
36.0,-101.0
8.0,-101.0
34.0,-101.0
32.0,-101.0
33.0,-101.0
33.0,-101.0
31.0,-101.0
35.0,-101.0
33.0,-101.0
-9.0,-101.0
36.0,-101.0
32.0,-101.0
34.0,-101.0
33.0,-101.0
32.0,-101.0
35.0,-101.0
36.0,-101.0
22.0,-101.0
35.0,-101.0
31.0,-101.0
34.0,-101.0
33.0,-101.0
34.0,-101.0
26.0,-101.0
29.0,-101.0
36.0,-101.0
29.0,-101.0
2.0,-101.0
36.0,-101.0
35.0,-101.0
31.0,-101.0
32.0,-101.0
34.0,-101.0
28.0,-101.0
36.0,-101.0
29.0,-101.0
34.0,-101.0
34.0,-101.0
14.0,-101.0
36.0,-101.0
34.0,-101.0
27.0,-101.0
32.0,-101.0
35.0,-101.0
13.0,-101.0
36.0,-101.0
36.0,-101.0
33.0,-101.0
34.0,-101.0
29.0,-101.0
36.0,-101.0
35.0,-101.0
28.0,-101.0
33.0,-101.0
34.0,-101.0
32.0,-101.0
35.0,-101.0
-12.0,-101.0
36.0,-101.0
34.0,-101.0
27.0,-101.0
36.0,-101.0
35.0,-101.0
31.0,-101.0
36.0,-101.0
31.0,-101.0
33.0,-101.0
35.0,-101.0
30.0,-101.0
35.0,-101.0
35.0,-101.0
33.0,-101.0
34.0,-101.0
35.0,-101.0
25.0,-101.0
32.0,-101.0
36.0,-101.0
33.0,-101.0
34.0,-101.0
29.0,-101.0
36.0,-101.0
1.0,-101.0
36.0,-101.0
31.0,-101.0
29.0,-101.0
33.0,-101.0
36.0,-101.0
34.0,-101.0
