greedy,constant-epsilon,epsilon-greedy,boltzmann-exploration
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,197.3
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
