,mean,Standard deviation
"('greedy_selection', 'moment_updating', 1, 2, 0.01, 1)",14.0,14.198591479439079
"('greedy_selection', 'moment_updating', 1, 2, 0.05, 1)",14.0,14.198591479439079
"('greedy_selection', 'moment_updating', 1, 2, 0.1, 1)",14.0,14.198591479439079
"('greedy_selection', 'moment_updating', 1, 2, 0.25, 1)",17.9,5.957348403442592
"('greedy_selection', 'moment_updating', 1, 2, 0.5, 1)",17.9,5.957348403442592
"('greedy_selection', 'moment_updating', 1, 2, 0.75, 1)",17.9,5.957348403442592
"('greedy_selection', 'moment_updating', 1, 2, 1, 1)",17.9,5.957348403442592
"('greedy_selection', 'moment_updating', 1, 2, 1.5, 1)",17.9,5.957348403442592
"('greedy_selection', 'moment_updating', 1, 2, 2, 1)",14.0,14.198591479439079
"('greedy_selection', 'moment_updating', 1, 2, 3, 1)",17.9,5.957348403442592
"('greedy_selection', 'moment_updating', 1, 1.1, 0.01, 1)",17.9,5.957348403442592
"('greedy_selection', 'moment_updating', 1, 1.1, 0.05, 1)",17.9,5.957348403442592
"('greedy_selection', 'moment_updating', 1, 1.1, 0.1, 1)",17.9,5.957348403442592
"('greedy_selection', 'moment_updating', 1, 1.1, 0.25, 1)",17.9,5.957348403442592
"('greedy_selection', 'moment_updating', 1, 1.1, 0.5, 1)",17.9,5.957348403442592
"('greedy_selection', 'moment_updating', 1, 1.1, 0.75, 1)",17.9,5.957348403442592
"('greedy_selection', 'moment_updating', 1, 1.1, 1, 1)",14.0,14.198591479439079
"('greedy_selection', 'moment_updating', 1, 1.1, 1.5, 1)",17.9,5.957348403442592
"('greedy_selection', 'moment_updating', 1, 1.1, 2, 1)",17.9,5.957348403442592
"('greedy_selection', 'moment_updating', 1, 1.1, 3, 1)",17.9,5.957348403442592
"('greedy_selection', 'moment_updating', 1, 1.01, 0.01, 1)",17.9,5.957348403442592
"('greedy_selection', 'moment_updating', 1, 1.01, 0.05, 1)",17.9,5.957348403442592
"('greedy_selection', 'moment_updating', 1, 1.01, 0.1, 1)",14.0,14.198591479439079
"('greedy_selection', 'moment_updating', 1, 1.01, 0.25, 1)",17.9,5.957348403442592
"('greedy_selection', 'moment_updating', 1, 1.01, 0.5, 1)",14.0,14.198591479439079
"('greedy_selection', 'moment_updating', 1, 1.01, 0.75, 1)",14.0,14.198591479439079
"('greedy_selection', 'moment_updating', 1, 1.01, 1, 1)",17.9,5.957348403442592
"('greedy_selection', 'moment_updating', 1, 1.01, 1.5, 1)",14.0,14.198591479439079
"('greedy_selection', 'moment_updating', 1, 1.01, 2, 1)",14.0,14.198591479439079
"('greedy_selection', 'moment_updating', 1, 1.01, 3, 1)",17.9,5.957348403442592
"('greedy_selection', 'moment_updating', 1, 1.001, 0.01, 1)",14.0,14.198591479439079
"('greedy_selection', 'moment_updating', 1, 1.001, 0.05, 1)",17.9,5.957348403442592
"('greedy_selection', 'moment_updating', 1, 1.001, 0.1, 1)",17.9,5.957348403442592
"('greedy_selection', 'moment_updating', 1, 1.001, 0.25, 1)",17.9,5.957348403442592
"('greedy_selection', 'moment_updating', 1, 1.001, 0.5, 1)",17.9,5.957348403442592
"('greedy_selection', 'moment_updating', 1, 1.001, 0.75, 1)",17.9,5.957348403442592
"('greedy_selection', 'moment_updating', 1, 1.001, 1, 1)",14.0,14.198591479439079
"('greedy_selection', 'moment_updating', 1, 1.001, 1.5, 1)",17.9,5.957348403442592
"('greedy_selection', 'moment_updating', 1, 1.001, 2, 1)",17.9,5.957348403442592
"('greedy_selection', 'moment_updating', 1, 1.001, 3, 1)",17.9,5.957348403442592
"('greedy_selection', 'moment_updating', 1, 1.0001, 0.01, 1)",14.0,14.198591479439079
"('greedy_selection', 'moment_updating', 1, 1.0001, 0.05, 1)",17.9,5.957348403442592
"('greedy_selection', 'moment_updating', 1, 1.0001, 0.1, 1)",17.9,5.957348403442592
"('greedy_selection', 'moment_updating', 1, 1.0001, 0.25, 1)",17.9,5.957348403442592
"('greedy_selection', 'moment_updating', 1, 1.0001, 0.5, 1)",14.0,14.198591479439079
"('greedy_selection', 'moment_updating', 1, 1.0001, 0.75, 1)",17.9,5.957348403442592
"('greedy_selection', 'moment_updating', 1, 1.0001, 1, 1)",17.9,5.957348403442592
